"Step","bright-planet-137 - test/rmse_scat","bright-planet-137 - test/rmse_scat__MIN","bright-planet-137 - test/rmse_scat__MAX"
"1","0.009390359744429588","0.009390359744429588","0.009390359744429588"
"2","0.007134995423257351","0.007134995423257351","0.007134995423257351"
"3","0.007569888141006231","0.007569888141006231","0.007569888141006231"
"4","0.005177849903702736","0.005177849903702736","0.005177849903702736"
"5","0.016529738903045654","0.016529738903045654","0.016529738903045654"
"6","0.016996661201119423","0.016996661201119423","0.016996661201119423"
"7","0.012392697855830193","0.012392697855830193","0.012392697855830193"
"8","0.022562125697731972","0.022562125697731972","0.022562125697731972"
"9","0.014727485366165638","0.014727485366165638","0.014727485366165638"
"10","0.007093994878232479","0.007093994878232479","0.007093994878232479"
"11","0.004582805093377829","0.004582805093377829","0.004582805093377829"
"12","0.009368316270411015","0.009368316270411015","0.009368316270411015"
"13","0.007923467084765434","0.007923467084765434","0.007923467084765434"
"14","0.021390387788414955","0.021390387788414955","0.021390387788414955"
"15","0.008035163395106792","0.008035163395106792","0.008035163395106792"
"16","0.007156149484217167","0.007156149484217167","0.007156149484217167"
"18","0.009802921675145626","0.009802921675145626","0.009802921675145626"
"19","0.031575050204992294","0.031575050204992294","0.031575050204992294"
"20","0.014718275517225266","0.014718275517225266","0.014718275517225266"
"21","0.0045059253461658955","0.0045059253461658955","0.0045059253461658955"
"22","0.017342394217848778","0.017342394217848778","0.017342394217848778"
"23","0.01320668775588274","0.01320668775588274","0.01320668775588274"
"24","0.014157358556985855","0.014157358556985855","0.014157358556985855"
"25","0.006830328609794378","0.006830328609794378","0.006830328609794378"
"26","0.019115515053272247","0.019115515053272247","0.019115515053272247"
"27","0.006163046229630709","0.006163046229630709","0.006163046229630709"
"28","0.024895651265978813","0.024895651265978813","0.024895651265978813"
"29","0.004744342062622309","0.004744342062622309","0.004744342062622309"
"30","0.01164962537586689","0.01164962537586689","0.01164962537586689"
"31","0.006836187560111284","0.006836187560111284","0.006836187560111284"
"32","0.011649339459836483","0.011649339459836483","0.011649339459836483"
"33","0.00564848817884922","0.00564848817884922","0.00564848817884922"
"34","0.007786754984408617","0.007786754984408617","0.007786754984408617"
"35","0.014847328886389732","0.014847328886389732","0.014847328886389732"
"36","0.010127141140401363","0.010127141140401363","0.010127141140401363"
"37","0.0058018239215016365","0.0058018239215016365","0.0058018239215016365"
"38","0.009104072116315365","0.009104072116315365","0.009104072116315365"
"39","0.009287341497838497","0.009287341497838497","0.009287341497838497"
"40","0.009966576471924782","0.009966576471924782","0.009966576471924782"
"41","0.00810141209512949","0.00810141209512949","0.00810141209512949"
"42","0.030463196337223053","0.030463196337223053","0.030463196337223053"
"43","0.007721512112766504","0.007721512112766504","0.007721512112766504"
"44","0.006937885191291571","0.006937885191291571","0.006937885191291571"
"45","0.00917456578463316","0.00917456578463316","0.00917456578463316"
"46","0.0071822344325482845","0.0071822344325482845","0.0071822344325482845"
"47","0.006622656248509884","0.006622656248509884","0.006622656248509884"
"48","0.005850276444107294","0.005850276444107294","0.005850276444107294"
"49","0.014997731894254684","0.014997731894254684","0.014997731894254684"
"51","0.006924743764102459","0.006924743764102459","0.006924743764102459"
"52","0.00603347085416317","0.00603347085416317","0.00603347085416317"
"53","0.005359765607863665","0.005359765607863665","0.005359765607863665"
"54","0.0067060100845992565","0.0067060100845992565","0.0067060100845992565"
"55","0.010737518779933453","0.010737518779933453","0.010737518779933453"
"56","0.01245986670255661","0.01245986670255661","0.01245986670255661"
"57","0.004981264937669039","0.004981264937669039","0.004981264937669039"
"58","0.012083462439477444","0.012083462439477444","0.012083462439477444"
"59","0.006254321429878473","0.006254321429878473","0.006254321429878473"
"60","0.00486320024356246","0.00486320024356246","0.00486320024356246"
"61","0.0057426816783845425","0.0057426816783845425","0.0057426816783845425"
"62","0.004989319015294313","0.004989319015294313","0.004989319015294313"
"63","0.027516501024365425","0.027516501024365425","0.027516501024365425"
"64","0.007901428267359734","0.007901428267359734","0.007901428267359734"
"65","0.007382499985396862","0.007382499985396862","0.007382499985396862"
"66","0.006841902621090412","0.006841902621090412","0.006841902621090412"
"67","0.0053295898251235485","0.0053295898251235485","0.0053295898251235485"
"68","0.008326795883476734","0.008326795883476734","0.008326795883476734"
"69","0.004207686986774206","0.004207686986774206","0.004207686986774206"
"70","0.00784301571547985","0.00784301571547985","0.00784301571547985"
"71","0.011416669934988022","0.011416669934988022","0.011416669934988022"
"72","0.025977175682783127","0.025977175682783127","0.025977175682783127"
"73","0.025525109842419624","0.025525109842419624","0.025525109842419624"
"74","0.006922026164829731","0.006922026164829731","0.006922026164829731"
"75","0.005361463874578476","0.005361463874578476","0.005361463874578476"
"76","0.007530183531343937","0.007530183531343937","0.007530183531343937"
"77","0.011170551180839539","0.011170551180839539","0.011170551180839539"
"78","0.008725893683731556","0.008725893683731556","0.008725893683731556"
"79","0.00729695288464427","0.00729695288464427","0.00729695288464427"
"80","0.007260125130414963","0.007260125130414963","0.007260125130414963"
"81","0.006866936106234789","0.006866936106234789","0.006866936106234789"
"82","0.006361392792314291","0.006361392792314291","0.006361392792314291"
"83","0.012998436577618122","0.012998436577618122","0.012998436577618122"
"84","0.02295726351439953","0.02295726351439953","0.02295726351439953"
"85","0.0050186230801045895","0.0050186230801045895","0.0050186230801045895"
"86","0.02002873085439205","0.02002873085439205","0.02002873085439205"
"87","0.018943674862384796","0.018943674862384796","0.018943674862384796"
"88","0.01975131966173649","0.01975131966173649","0.01975131966173649"
"89","0.011121729388833046","0.011121729388833046","0.011121729388833046"
"90","0.02628694660961628","0.02628694660961628","0.02628694660961628"
"91","0.005811371840536594","0.005811371840536594","0.005811371840536594"
"92","0.033432867377996445","0.033432867377996445","0.033432867377996445"
"93","0.006637949962168932","0.006637949962168932","0.006637949962168932"
"94","0.01128410641103983","0.01128410641103983","0.01128410641103983"
"95","0.006910563912242651","0.006910563912242651","0.006910563912242651"
"96","0.00651645427569747","0.00651645427569747","0.00651645427569747"
"97","0.01436125673353672","0.01436125673353672","0.01436125673353672"
"98","0.009807080961763859","0.009807080961763859","0.009807080961763859"
"99","0.006919006817042828","0.006919006817042828","0.006919006817042828"
"100","0.014408080838620663","0.014408080838620663","0.014408080838620663"
"101","0.017072349786758423","0.017072349786758423","0.017072349786758423"
"102","0.017056692391633987","0.017056692391633987","0.017056692391633987"
"103","0.012024478986859322","0.012024478986859322","0.012024478986859322"
"104","0.0086514325812459","0.0086514325812459","0.0086514325812459"
"105","0.011030035093426704","0.011030035093426704","0.011030035093426704"
"106","0.016289152204990387","0.016289152204990387","0.016289152204990387"
"107","0.019986717030405998","0.019986717030405998","0.019986717030405998"
"108","0.02574029378592968","0.02574029378592968","0.02574029378592968"
"109","0.014043732546269894","0.014043732546269894","0.014043732546269894"
"110","0.016812894493341446","0.016812894493341446","0.016812894493341446"
"111","0.00473753409460187","0.00473753409460187","0.00473753409460187"
"112","0.006632320582866669","0.006632320582866669","0.006632320582866669"
"113","0.005197681486606598","0.005197681486606598","0.005197681486606598"
"114","0.013899821788072586","0.013899821788072586","0.013899821788072586"
"115","0.015397106297314167","0.015397106297314167","0.015397106297314167"
"116","0.006536353845149279","0.006536353845149279","0.006536353845149279"
"117","0.009980527684092522","0.009980527684092522","0.009980527684092522"
"118","0.01417737640440464","0.01417737640440464","0.01417737640440464"
"119","0.027077075093984604","0.027077075093984604","0.027077075093984604"
"120","0.006754347123205662","0.006754347123205662","0.006754347123205662"
"121","0.014291920699179173","0.014291920699179173","0.014291920699179173"
"122","0.0059737470000982285","0.0059737470000982285","0.0059737470000982285"
"123","0.011737876571714878","0.011737876571714878","0.011737876571714878"
"124","0.00797993503510952","0.00797993503510952","0.00797993503510952"
"125","0.026079660281538963","0.026079660281538963","0.026079660281538963"
"126","0.004471451975405216","0.004471451975405216","0.004471451975405216"
"127","0.014509777538478374","0.014509777538478374","0.014509777538478374"
"128","0.004959868732839823","0.004959868732839823","0.004959868732839823"
"129","0.014755146577954292","0.014755146577954292","0.014755146577954292"
"130","0.008196240290999413","0.008196240290999413","0.008196240290999413"
"131","0.00662203598767519","0.00662203598767519","0.00662203598767519"
"132","0.022791730239987373","0.022791730239987373","0.022791730239987373"
"133","0.0053773308172822","0.0053773308172822","0.0053773308172822"
"134","0.00921932328492403","0.00921932328492403","0.00921932328492403"
"135","0.008184347301721573","0.008184347301721573","0.008184347301721573"
