"Step","feasible-paper-136 - test/rmse_scat","feasible-paper-136 - test/rmse_scat__MIN","feasible-paper-136 - test/rmse_scat__MAX"
"0","0.011400921270251274","0.011400921270251274","0.011400921270251274"
"1","0.0066995942033827305","0.0066995942033827305","0.0066995942033827305"
"2","0.007394915912300348","0.007394915912300348","0.007394915912300348"
"3","0.005628244020044804","0.005628244020044804","0.005628244020044804"
"4","0.015468178316950798","0.015468178316950798","0.015468178316950798"
"5","0.016859620809555054","0.016859620809555054","0.016859620809555054"
"6","0.011882667429745197","0.011882667429745197","0.011882667429745197"
"7","0.02134181186556816","0.02134181186556816","0.02134181186556816"
"8","0.013743839226663113","0.013743839226663113","0.013743839226663113"
"9","0.005816261284053326","0.005816261284053326","0.005816261284053326"
"10","0.005032549612224102","0.005032549612224102","0.005032549612224102"
"11","0.011011578142642975","0.011011578142642975","0.011011578142642975"
"12","0.0066849603317677975","0.0066849603317677975","0.0066849603317677975"
"13","0.02160908840596676","0.02160908840596676","0.02160908840596676"
"14","0.008969436399638653","0.008969436399638653","0.008969436399638653"
"15","0.0065431147813797","0.0065431147813797","0.0065431147813797"
"17","0.008878891356289387","0.008878891356289387","0.008878891356289387"
"18","0.030565952882170677","0.030565952882170677","0.030565952882170677"
"19","0.011002716608345509","0.011002716608345509","0.011002716608345509"
"20","0.004095606505870819","0.004095606505870819","0.004095606505870819"
"21","0.01807619445025921","0.01807619445025921","0.01807619445025921"
"22","0.013550177216529846","0.013550177216529846","0.013550177216529846"
"23","0.01484463457018137","0.01484463457018137","0.01484463457018137"
"24","0.007152013015002012","0.007152013015002012","0.007152013015002012"
"25","0.018144739791750908","0.018144739791750908","0.018144739791750908"
"26","0.006166674196720123","0.006166674196720123","0.006166674196720123"
"27","0.02448973059654236","0.02448973059654236","0.02448973059654236"
"28","0.004667988978326321","0.004667988978326321","0.004667988978326321"
"29","0.01073665451258421","0.01073665451258421","0.01073665451258421"
"30","0.005820763763040304","0.005820763763040304","0.005820763763040304"
"31","0.013727002777159214","0.013727002777159214","0.013727002777159214"
"32","0.005571948830038309","0.005571948830038309","0.005571948830038309"
"33","0.0056590549647808075","0.0056590549647808075","0.0056590549647808075"
"34","0.014202863909304142","0.014202863909304142","0.014202863909304142"
"35","0.010461746715009212","0.010461746715009212","0.010461746715009212"
"36","0.005464593414217234","0.005464593414217234","0.005464593414217234"
"37","0.010151234455406666","0.010151234455406666","0.010151234455406666"
"38","0.008040456101298332","0.008040456101298332","0.008040456101298332"
"39","0.0105341961607337","0.0105341961607337","0.0105341961607337"
"40","0.006975112017244101","0.006975112017244101","0.006975112017244101"
"41","0.028906622901558876","0.028906622901558876","0.028906622901558876"
"42","0.005907378625124693","0.005907378625124693","0.005907378625124693"
"43","0.007419195491820574","0.007419195491820574","0.007419195491820574"
"44","0.008549566380679607","0.008549566380679607","0.008549566380679607"
"45","0.007950338535010815","0.007950338535010815","0.007950338535010815"
"46","0.006096174009144306","0.006096174009144306","0.006096174009144306"
"47","0.005732480436563492","0.005732480436563492","0.005732480436563492"
"48","0.014595907181501389","0.014595907181501389","0.014595907181501389"
"49","0.006548301782459021","0.006548301782459021","0.006548301782459021"
"50","0.00626563373953104","0.00626563373953104","0.00626563373953104"
"51","0.00563160190358758","0.00563160190358758","0.00563160190358758"
"52","0.006297837942838669","0.006297837942838669","0.006297837942838669"
"53","0.010006283409893513","0.010006283409893513","0.010006283409893513"
"54","0.010773916728794575","0.010773916728794575","0.010773916728794575"
"55","0.0055399988777935505","0.0055399988777935505","0.0055399988777935505"
"56","0.013136963360011578","0.013136963360011578","0.013136963360011578"
"57","0.006198176648467779","0.006198176648467779","0.006198176648467779"
"58","0.004820132628083229","0.004820132628083229","0.004820132628083229"
