"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"44","43.17545700073242","43.17545700073242","43.17545700073242"
"45","40.748291015625","40.748291015625","40.748291015625"
"46","42.87480545043945","42.87480545043945","42.87480545043945"
"47","43.57935333251953","43.57935333251953","43.57935333251953"
"48","44.656471252441406","44.656471252441406","44.656471252441406"
"49","36.479488372802734","36.479488372802734","36.479488372802734"
"51","43.191925048828125","43.191925048828125","43.191925048828125"
"52","44.38865280151367","44.38865280151367","44.38865280151367"
"53","45.417083740234375","45.417083740234375","45.417083740234375"
"54","43.4707145690918","43.4707145690918","43.4707145690918"
"55","39.381919860839844","39.381919860839844","39.381919860839844"
"56","38.08972930908203","38.08972930908203","38.08972930908203"
"57","46.05320739746094","46.05320739746094","46.05320739746094"
"58","38.356170654296875","38.356170654296875","38.356170654296875"
"59","44.076393127441406","44.076393127441406","44.076393127441406"
"60","46.26155471801758","46.26155471801758","46.26155471801758"
"61","44.81770324707031","44.81770324707031","44.81770324707031"
"62","46.0391731262207","46.0391731262207","46.0391731262207"
"63","31.208133697509766","31.208133697509766","31.208133697509766"
"64","42.04588317871094","42.04588317871094","42.04588317871094"
"65","42.635929107666016","42.635929107666016","42.635929107666016"
"66","43.29645919799805","43.29645919799805","43.29645919799805"
"67","45.466121673583984","45.466121673583984","45.466121673583984"
"68","41.5904426574707","41.5904426574707","41.5904426574707"
"69","47.51913070678711","47.51913070678711","47.51913070678711"
"70","42.11033630371094","42.11033630371094","42.11033630371094"
"71","38.84920883178711","38.84920883178711","38.84920883178711"
"72","31.708160400390625","31.708160400390625","31.708160400390625"
"73","31.860647201538086","31.860647201538086","31.860647201538086"
"74","43.195335388183594","43.195335388183594","43.195335388183594"
"75","45.414329528808594","45.414329528808594","45.414329528808594"
"76","42.46388626098633","42.46388626098633","42.46388626098633"
"77","39.03850555419922","39.03850555419922","39.03850555419922"
"78","41.183799743652344","41.183799743652344","41.183799743652344"
"79","42.73716735839844","42.73716735839844","42.73716735839844"
"80","42.7811164855957","42.7811164855957","42.7811164855957"
"81","43.26473617553711","43.26473617553711","43.26473617553711"
"82","43.928955078125","43.928955078125","43.928955078125"
"83","37.72217559814453","37.72217559814453","37.72217559814453"
"84","32.78159713745117","32.78159713745117","32.78159713745117"
"85","45.988304138183594","45.988304138183594","45.988304138183594"
"86","33.9669303894043","33.9669303894043","33.9669303894043"
"87","34.450714111328125","34.450714111328125","34.450714111328125"
"88","34.088077545166016","34.088077545166016","34.088077545166016"
"89","39.07655334472656","39.07655334472656","39.07655334472656"
"90","31.605195999145508","31.605195999145508","31.605195999145508"
"91","44.71442413330078","44.71442413330078","44.71442413330078"
"92","29.516525268554688","29.516525268554688","29.516525268554688"
"93","43.55931854248047","43.55931854248047","43.55931854248047"
"94","38.95065689086914","38.95065689086914","38.95065689086914"
"95","43.20973205566406","43.20973205566406","43.20973205566406"
"96","43.71977233886719","43.71977233886719","43.71977233886719"
"97","36.85615158081055","36.85615158081055","36.85615158081055"
"98","40.1692008972168","40.1692008972168","40.1692008972168"
"99","43.19912338256836","43.19912338256836","43.19912338256836"
"100","36.82787322998047","36.82787322998047","36.82787322998047"
"101","35.354129791259766","35.354129791259766","35.354129791259766"
"102","35.36210250854492","35.36210250854492","35.36210250854492"
"103","38.39867401123047","38.39867401123047","38.39867401123047"
"104","41.25823974609375","41.25823974609375","41.25823974609375"
"105","39.148460388183594","39.148460388183594","39.148460388183594"
"106","35.762027740478516","35.762027740478516","35.762027740478516"
"107","33.98516845703125","33.98516845703125","33.98516845703125"
"108","31.787729263305664","31.787729263305664","31.787729263305664"
"109","37.050350189208984","37.050350189208984","37.050350189208984"
"110","35.487152099609375","35.487152099609375","35.487152099609375"
"111","46.48895263671875","46.48895263671875","46.48895263671875"
"112","43.566688537597656","43.566688537597656","43.566688537597656"
"113","45.68380355834961","45.68380355834961","45.68380355834961"
"114","37.13981628417969","37.13981628417969","37.13981628417969"
"115","36.251216888427734","36.251216888427734","36.251216888427734"
"116","43.69328689575195","43.69328689575195","43.69328689575195"
"117","40.016929626464844","40.016929626464844","40.016929626464844"
"118","36.968082427978516","36.968082427978516","36.968082427978516"
"119","31.347963333129883","31.347963333129883","31.347963333129883"
"120","43.40833282470703","43.40833282470703","43.40833282470703"
"121","36.89818572998047","36.89818572998047","36.89818572998047"
"122","44.475059509277344","44.475059509277344","44.475059509277344"
"123","38.60820770263672","38.60820770263672","38.60820770263672"
"124","41.96001052856445","41.96001052856445","41.96001052856445"
"125","31.673959732055664","31.673959732055664","31.673959732055664"
"126","46.99102783203125","46.99102783203125","46.99102783203125"
"127","36.76678466796875","36.76678466796875","36.76678466796875"
"128","46.09059524536133","46.09059524536133","46.09059524536133"
"129","36.62112808227539","36.62112808227539","36.62112808227539"
"130","41.72770690917969","41.72770690917969","41.72770690917969"
"131","43.580169677734375","43.580169677734375","43.580169677734375"
"132","32.844451904296875","32.844451904296875","32.844451904296875"
"133","45.3886604309082","45.3886604309082","45.3886604309082"
"134","40.70602035522461","40.70602035522461","40.70602035522461"
"135","41.740318298339844","41.740318298339844","41.740318298339844"
"136","43.80291748046875","43.80291748046875","43.80291748046875"
"137","44.64366912841797","44.64366912841797","44.64366912841797"
"138","46.69137191772461","46.69137191772461","46.69137191772461"
"139","31.403812408447266","31.403812408447266","31.403812408447266"
"140","41.17922592163086","41.17922592163086","41.17922592163086"
"141","40.26748275756836","40.26748275756836","40.26748275756836"
"142","35.90031051635742","35.90031051635742","35.90031051635742"
"143","36.59181594848633","36.59181594848633","36.59181594848633"
"144","41.937469482421875","41.937469482421875","41.937469482421875"
"145","46.36943435668945","46.36943435668945","46.36943435668945"
"146","47.67234802246094","47.67234802246094","47.67234802246094"
"147","37.20286178588867","37.20286178588867","37.20286178588867"
"148","43.67162322998047","43.67162322998047","43.67162322998047"
"149","34.94319534301758","34.94319534301758","34.94319534301758"
"150","29.439102172851562","29.439102172851562","29.439102172851562"
"151","42.68358612060547","42.68358612060547","42.68358612060547"
"152","34.57578659057617","34.57578659057617","34.57578659057617"
"153","33.88465881347656","33.88465881347656","33.88465881347656"
"154","34.685916900634766","34.685916900634766","34.685916900634766"
"155","42.678810119628906","42.678810119628906","42.678810119628906"
"156","40.7113151550293","40.7113151550293","40.7113151550293"
"157","41.77206802368164","41.77206802368164","41.77206802368164"
"158","45.37104797363281","45.37104797363281","45.37104797363281"
"159","27.97504997253418","27.97504997253418","27.97504997253418"
"160","41.0084342956543","41.0084342956543","41.0084342956543"
"161","37.81891632080078","37.81891632080078","37.81891632080078"
"162","45.06533432006836","45.06533432006836","45.06533432006836"
"163","39.589027404785156","39.589027404785156","39.589027404785156"
"164","34.07624053955078","34.07624053955078","34.07624053955078"
"165","44.43291091918945","44.43291091918945","44.43291091918945"
"166","35.922515869140625","35.922515869140625","35.922515869140625"
"167","42.61883544921875","42.61883544921875","42.61883544921875"
"168","33.340911865234375","33.340911865234375","33.340911865234375"
"169","38.56828689575195","38.56828689575195","38.56828689575195"
"170","47.416221618652344","47.416221618652344","47.416221618652344"
"171","42.81073760986328","42.81073760986328","42.81073760986328"
"172","42.783851623535156","42.783851623535156","42.783851623535156"
"173","32.82588577270508","32.82588577270508","32.82588577270508"
"174","36.49432373046875","36.49432373046875","36.49432373046875"
"175","42.418785095214844","42.418785095214844","42.418785095214844"
"176","30.841569900512695","30.841569900512695","30.841569900512695"
"177","38.85633850097656","38.85633850097656","38.85633850097656"
"178","30.77519416809082","30.77519416809082","30.77519416809082"
"181","39.83615493774414","39.83615493774414","39.83615493774414"
"182","32.101043701171875","32.101043701171875","32.101043701171875"
"183","34.472755432128906","34.472755432128906","34.472755432128906"
"184","41.08243942260742","41.08243942260742","41.08243942260742"
"185","38.342472076416016","38.342472076416016","38.342472076416016"
"186","39.78466033935547","39.78466033935547","39.78466033935547"
"187","43.41938400268555","43.41938400268555","43.41938400268555"
"188","42.55686950683594","42.55686950683594","42.55686950683594"
"189","33.69236373901367","33.69236373901367","33.69236373901367"
"190","40.50101852416992","40.50101852416992","40.50101852416992"
"191","41.79683303833008","41.79683303833008","41.79683303833008"
"192","32.660621643066406","32.660621643066406","32.660621643066406"
"193","44.731807708740234","44.731807708740234","44.731807708740234"
"194","33.112449645996094","33.112449645996094","33.112449645996094"
"195","43.106258392333984","43.106258392333984","43.106258392333984"
"196","37.40996170043945","37.40996170043945","37.40996170043945"
"197","44.132930755615234","44.132930755615234","44.132930755615234"
"198","39.36732864379883","39.36732864379883","39.36732864379883"
"199","41.799598693847656","41.799598693847656","41.799598693847656"
"200","34.72981643676758","34.72981643676758","34.72981643676758"
"201","36.26387405395508","36.26387405395508","36.26387405395508"
"202","34.22626876831055","34.22626876831055","34.22626876831055"
"203","36.55783462524414","36.55783462524414","36.55783462524414"
"204","36.00872039794922","36.00872039794922","36.00872039794922"
"205","39.199424743652344","39.199424743652344","39.199424743652344"
