"Step","feasible-paper-136 - test/psnr_scat","feasible-paper-136 - test/psnr_scat__MIN","feasible-paper-136 - test/psnr_scat__MAX"
"0","38.86119842529297","38.86119842529297","38.86119842529297"
"1","43.479026794433594","43.479026794433594","43.479026794433594"
"2","42.62133026123047","42.62133026123047","42.62133026123047"
"3","44.99253845214844","44.99253845214844","44.99253845214844"
"4","36.21121597290039","36.21121597290039","36.21121597290039"
"5","35.463043212890625","35.463043212890625","35.463043212890625"
"6","38.5017204284668","38.5017204284668","38.5017204284668"
"7","33.415374755859375","33.415374755859375","33.415374755859375"
"8","37.23783874511719","37.23783874511719","37.23783874511719"
"9","44.70711898803711","44.70711898803711","44.70711898803711"
"10","45.964237213134766","45.964237213134766","45.964237213134766"
"11","39.16300964355469","39.16300964355469","39.16300964355469"
"12","43.49802017211914","43.49802017211914","43.49802017211914"
"13","33.30727005004883","33.30727005004883","33.30727005004883"
"14","40.94469451904297","40.94469451904297","40.94469451904297"
"15","43.68431091308594","43.68431091308594","43.68431091308594"
"17","41.0328254699707","41.0328254699707","41.0328254699707"
"18","30.29524040222168","30.29524040222168","30.29524040222168"
"19","39.16999816894531","39.16999816894531","39.16999816894531"
"20","47.753631591796875","47.753631591796875","47.753631591796875"
"21","34.85785675048828","34.85785675048828","34.85785675048828"
"22","37.36109924316406","37.36109924316406","37.36109924316406"
"23","36.568607330322266","36.568607330322266","36.568607330322266"
"24","42.911434173583984","42.911434173583984","42.911434173583984"
"25","34.82498550415039","34.82498550415039","34.82498550415039"
"26","44.198974609375","44.198974609375","44.198974609375"
"27","32.22031784057617","32.22031784057617","32.22031784057617"
"28","46.617401123046875","46.617401123046875","46.617401123046875"
"29","39.38262176513672","39.38262176513672","39.38262176513672"
"30","44.70039749145508","44.70039749145508","44.70039749145508"
"31","37.24848556518555","37.24848556518555","37.24848556518555"
"32","45.079856872558594","45.079856872558594","45.079856872558594"
"33","44.94512176513672","44.94512176513672","44.94512176513672"
"34","36.95248031616211","36.95248031616211","36.95248031616211"
"35","39.607913970947266","39.607913970947266","39.607913970947266"
"36","45.24884033203125","45.24884033203125","45.24884033203125"
"37","39.86962127685547","39.86962127685547","39.86962127685547"
"38","41.89438247680664","41.89438247680664","41.89438247680664"
"39","39.5479736328125","39.5479736328125","39.5479736328125"
"40","43.12897491455078","43.12897491455078","43.12897491455078"
"41","30.78005027770996","30.78005027770996","30.78005027770996"
"42","44.57210159301758","44.57210159301758","44.57210159301758"
"43","42.59286117553711","42.59286117553711","42.59286117553711"
"44","41.361114501953125","41.361114501953125","41.361114501953125"
"45","41.992286682128906","41.992286682128906","41.992286682128906"
"46","44.298851013183594","44.298851013183594","44.298851013183594"
"47","44.83314514160156","44.83314514160156","44.83314514160156"
"48","36.71537780761719","36.71537780761719","36.71537780761719"
"49","43.677425384521484","43.677425384521484","43.677425384521484"
"50","44.060699462890625","44.060699462890625","44.060699462890625"
"51","44.98735809326172","44.98735809326172","44.98735809326172"
"52","44.01616668701172","44.01616668701172","44.01616668701172"
"53","39.994544982910156","39.994544982910156","39.994544982910156"
"54","39.3525276184082","39.3525276184082","39.3525276184082"
"55","45.12980270385742","45.12980270385742","45.12980270385742"
"56","37.63010025024414","37.63010025024414","37.63010025024414"
"57","44.154720306396484","44.154720306396484","44.154720306396484"
"58","46.33881759643555","46.33881759643555","46.33881759643555"
"59","44.37232971191406","44.37232971191406","44.37232971191406"
"60","45.593788146972656","45.593788146972656","45.593788146972656"
"61","30.31317138671875","30.31317138671875","30.31317138671875"
"62","43.96249008178711","43.96249008178711","43.96249008178711"
"63","44.39500427246094","44.39500427246094","44.39500427246094"
"64","44.449989318847656","44.449989318847656","44.449989318847656"
"65","45.54158020019531","45.54158020019531","45.54158020019531"
"66","42.49642562866211","42.49642562866211","42.49642562866211"
"67","46.89324951171875","46.89324951171875","46.89324951171875"
"68","42.438655853271484","42.438655853271484","42.438655853271484"
"69","37.73897171020508","37.73897171020508","37.73897171020508"
"70","31.608287811279297","31.608287811279297","31.608287811279297"
"71","31.853137969970703","31.853137969970703","31.853137969970703"
"72","43.658790588378906","43.658790588378906","43.658790588378906"
"73","43.76953125","43.76953125","43.76953125"
"74","43.4728889465332","43.4728889465332","43.4728889465332"
"75","38.791324615478516","38.791324615478516","38.791324615478516"
"76","43.04825973510742","43.04825973510742","43.04825973510742"
"77","43.51809310913086","43.51809310913086","43.51809310913086"
"78","43.215484619140625","43.215484619140625","43.215484619140625"
"79","43.46736145019531","43.46736145019531","43.46736145019531"
"80","44.167266845703125","44.167266845703125","44.167266845703125"
"81","37.9525032043457","37.9525032043457","37.9525032043457"
"82","33.27967071533203","33.27967071533203","33.27967071533203"
