"Step","leafy-darkness-87 - val/ssim_atten","leafy-darkness-87 - val/ssim_atten__MIN","leafy-darkness-87 - val/ssim_atten__MAX"
"95","0.15256646275520325","0.15256646275520325","0.15256646275520325"
"97","0.16748541593551636","0.16748541593551636","0.16748541593551636"
"99","0.2138729691505432","0.2138729691505432","0.2138729691505432"
"101","0.15418100357055664","0.15418100357055664","0.15418100357055664"
"578","0.7270660400390625","0.7270660400390625","0.7270660400390625"
"580","0.7628893852233887","0.7628893852233887","0.7628893852233887"
"582","0.71645188331604","0.71645188331604","0.71645188331604"
"584","0.7266635298728943","0.7266635298728943","0.7266635298728943"
"1061","0.6566518545150757","0.6566518545150757","0.6566518545150757"
"1063","0.6910751461982727","0.6910751461982727","0.6910751461982727"
"1065","0.6941112279891968","0.6941112279891968","0.6941112279891968"
"1067","0.6926431655883789","0.6926431655883789","0.6926431655883789"
"1544","0.8444560766220093","0.8444560766220093","0.8444560766220093"
"1546","0.8349186182022095","0.8349186182022095","0.8349186182022095"
"1548","0.8385602235794067","0.8385602235794067","0.8385602235794067"
"1550","0.8194245100021362","0.8194245100021362","0.8194245100021362"
"2027","0.8236374855041504","0.8236374855041504","0.8236374855041504"
"2029","0.8318608403205872","0.8318608403205872","0.8318608403205872"
"2031","0.8357363343238831","0.8357363343238831","0.8357363343238831"
"2033","0.8254773616790771","0.8254773616790771","0.8254773616790771"
"2510","0.8490912318229675","0.8490912318229675","0.8490912318229675"
"2512","0.8560285568237305","0.8560285568237305","0.8560285568237305"
"2514","0.8662000298500061","0.8662000298500061","0.8662000298500061"
"2516","0.8423928022384644","0.8423928022384644","0.8423928022384644"
"2993","0.8491536974906921","0.8491536974906921","0.8491536974906921"
"2995","0.8605260848999023","0.8605260848999023","0.8605260848999023"
"2997","0.8634213209152222","0.8634213209152222","0.8634213209152222"
"2999","0.849071741104126","0.849071741104126","0.849071741104126"
"3476","0.8294517397880554","0.8294517397880554","0.8294517397880554"
"3478","0.8324604630470276","0.8324604630470276","0.8324604630470276"
"3480","0.8413823843002319","0.8413823843002319","0.8413823843002319"
"3482","0.8330228328704834","0.8330228328704834","0.8330228328704834"
"3959","0.853055477142334","0.853055477142334","0.853055477142334"
"3961","0.8574401140213013","0.8574401140213013","0.8574401140213013"
"3963","0.8548658490180969","0.8548658490180969","0.8548658490180969"
"3965","0.8444461226463318","0.8444461226463318","0.8444461226463318"
"4442","0.8861016035079956","0.8861016035079956","0.8861016035079956"
"4444","0.8867998719215393","0.8867998719215393","0.8867998719215393"
"4446","0.8849588632583618","0.8849588632583618","0.8849588632583618"
"4448","0.8692182302474976","0.8692182302474976","0.8692182302474976"
"4925","0.8602670431137085","0.8602670431137085","0.8602670431137085"
"4927","0.8692151308059692","0.8692151308059692","0.8692151308059692"
"4929","0.8843100070953369","0.8843100070953369","0.8843100070953369"
"4931","0.8662417531013489","0.8662417531013489","0.8662417531013489"
"5408","0.8988499641418457","0.8988499641418457","0.8988499641418457"
"5410","0.8887710571289062","0.8887710571289062","0.8887710571289062"
"5412","0.8942481279373169","0.8942481279373169","0.8942481279373169"
"5414","0.8820964097976685","0.8820964097976685","0.8820964097976685"
"5891","0.8925934433937073","0.8925934433937073","0.8925934433937073"
"5893","0.8967961072921753","0.8967961072921753","0.8967961072921753"
"5895","0.8960973620414734","0.8960973620414734","0.8960973620414734"
"5897","0.8955928087234497","0.8955928087234497","0.8955928087234497"
"6374","0.8632789850234985","0.8632789850234985","0.8632789850234985"
"6376","0.8441370725631714","0.8441370725631714","0.8441370725631714"
"6378","0.8659470081329346","0.8659470081329346","0.8659470081329346"
"6380","0.8456097841262817","0.8456097841262817","0.8456097841262817"
"6857","0.8880696296691895","0.8880696296691895","0.8880696296691895"
"6859","0.904154896736145","0.904154896736145","0.904154896736145"
