"Step","bright-planet-137 - test/ssim_scat","bright-planet-137 - test/ssim_scat__MIN","bright-planet-137 - test/ssim_scat__MAX"
"1","0.9005383253097534","0.9005383253097534","0.9005383253097534"
"2","0.9193069338798523","0.9193069338798523","0.9193069338798523"
"3","0.9494287371635437","0.9494287371635437","0.9494287371635437"
"4","0.8986290693283081","0.8986290693283081","0.8986290693283081"
"5","0.8315597176551819","0.8315597176551819","0.8315597176551819"
"6","0.9227908849716187","0.9227908849716187","0.9227908849716187"
"7","0.9055205583572388","0.9055205583572388","0.9055205583572388"
"8","0.8739534616470337","0.8739534616470337","0.8739534616470337"
"9","0.9285684823989868","0.9285684823989868","0.9285684823989868"
"10","0.9533079862594604","0.9533079862594604","0.9533079862594604"
"11","0.9409657716751099","0.9409657716751099","0.9409657716751099"
"12","0.9475579857826233","0.9475579857826233","0.9475579857826233"
"13","0.9448921084403992","0.9448921084403992","0.9448921084403992"
"14","0.9130460023880005","0.9130460023880005","0.9130460023880005"
"15","0.9335362315177917","0.9335362315177917","0.9335362315177917"
"16","0.9285024404525757","0.9285024404525757","0.9285024404525757"
"18","0.8685805797576904","0.8685805797576904","0.8685805797576904"
"19","0.8771173357963562","0.8771173357963562","0.8771173357963562"
"20","0.909912109375","0.909912109375","0.909912109375"
"21","0.9222877025604248","0.9222877025604248","0.9222877025604248"
"22","0.9092199206352234","0.9092199206352234","0.9092199206352234"
"23","0.9051305055618286","0.9051305055618286","0.9051305055618286"
"24","0.8983151912689209","0.8983151912689209","0.8983151912689209"
"25","0.9562938213348389","0.9562938213348389","0.9562938213348389"
"26","0.8801827430725098","0.8801827430725098","0.8801827430725098"
"27","0.9583371877670288","0.9583371877670288","0.9583371877670288"
"28","0.932680606842041","0.932680606842041","0.932680606842041"
"29","0.9254440069198608","0.9254440069198608","0.9254440069198608"
"30","0.9006810188293457","0.9006810188293457","0.9006810188293457"
"31","0.9093539714813232","0.9093539714813232","0.9093539714813232"
"32","0.9151997566223145","0.9151997566223145","0.9151997566223145"
"33","0.9294203519821167","0.9294203519821167","0.9294203519821167"
"34","0.9447371959686279","0.9447371959686279","0.9447371959686279"
"35","0.9101546406745911","0.9101546406745911","0.9101546406745911"
"36","0.9080942869186401","0.9080942869186401","0.9080942869186401"
"37","0.9601206183433533","0.9601206183433533","0.9601206183433533"
"38","0.9114927053451538","0.9114927053451538","0.9114927053451538"
"39","0.9412305355072021","0.9412305355072021","0.9412305355072021"
"40","0.9154066443443298","0.9154066443443298","0.9154066443443298"
"41","0.9306284785270691","0.9306284785270691","0.9306284785270691"
"42","0.7872130274772644","0.7872130274772644","0.7872130274772644"
"43","0.9473176002502441","0.9473176002502441","0.9473176002502441"
"44","0.9556108713150024","0.9556108713150024","0.9556108713150024"
"45","0.9492242336273193","0.9492242336273193","0.9492242336273193"
"46","0.9510970115661621","0.9510970115661621","0.9510970115661621"
"47","0.9545291066169739","0.9545291066169739","0.9545291066169739"
"48","0.8870388269424438","0.8870388269424438","0.8870388269424438"
"49","0.8967698812484741","0.8967698812484741","0.8967698812484741"
"51","0.9573984742164612","0.9573984742164612","0.9573984742164612"
"52","0.9434959292411804","0.9434959292411804","0.9434959292411804"
"53","0.9022643566131592","0.9022643566131592","0.9022643566131592"
"54","0.9587602019309998","0.9587602019309998","0.9587602019309998"
"55","0.9469292163848877","0.9469292163848877","0.9469292163848877"
"56","0.8365597128868103","0.8365597128868103","0.8365597128868103"
"57","0.9171392321586609","0.9171392321586609","0.9171392321586609"
"58","0.9302745461463928","0.9302745461463928","0.9302745461463928"
"59","0.9599026441574097","0.9599026441574097","0.9599026441574097"
"60","0.9377089142799377","0.9377089142799377","0.9377089142799377"
"61","0.9295743703842163","0.9295743703842163","0.9295743703842163"
"62","0.9314388036727905","0.9314388036727905","0.9314388036727905"
"63","0.832298994064331","0.832298994064331","0.832298994064331"
"64","0.9484076499938965","0.9484076499938965","0.9484076499938965"
"65","0.9476903080940247","0.9476903080940247","0.9476903080940247"
"66","0.9381114840507507","0.9381114840507507","0.9381114840507507"
"67","0.9259631633758545","0.9259631633758545","0.9259631633758545"
"68","0.9550183415412903","0.9550183415412903","0.9550183415412903"
"69","0.9248793721199036","0.9248793721199036","0.9248793721199036"
"70","0.9520537853240967","0.9520537853240967","0.9520537853240967"
"71","0.9256895780563354","0.9256895780563354","0.9256895780563354"
"72","0.8193587064743042","0.8193587064743042","0.8193587064743042"
"73","0.8939183950424194","0.8939183950424194","0.8939183950424194"
"74","0.9284501075744629","0.9284501075744629","0.9284501075744629"
"75","0.9652736186981201","0.9652736186981201","0.9652736186981201"
"76","0.8849718570709229","0.8849718570709229","0.8849718570709229"
"77","0.937301754951477","0.937301754951477","0.937301754951477"
"78","0.9330016374588013","0.9330016374588013","0.9330016374588013"
"79","0.9473954439163208","0.9473954439163208","0.9473954439163208"
"80","0.9539569616317749","0.9539569616317749","0.9539569616317749"
"81","0.9202913045883179","0.9202913045883179","0.9202913045883179"
"82","0.9248487949371338","0.9248487949371338","0.9248487949371338"
"83","0.9190771579742432","0.9190771579742432","0.9190771579742432"
"84","0.8968678712844849","0.8968678712844849","0.8968678712844849"
"85","0.9463164210319519","0.9463164210319519","0.9463164210319519"
"86","0.8409665822982788","0.8409665822982788","0.8409665822982788"
"87","0.9100521802902222","0.9100521802902222","0.9100521802902222"
"88","0.9143434166908264","0.9143434166908264","0.9143434166908264"
"89","0.9487196803092957","0.9487196803092957","0.9487196803092957"
"90","0.9048929214477539","0.9048929214477539","0.9048929214477539"
"91","0.9354804754257202","0.9354804754257202","0.9354804754257202"
"92","0.8806158900260925","0.8806158900260925","0.8806158900260925"
"93","0.9437193870544434","0.9437193870544434","0.9437193870544434"
"94","0.9334689974784851","0.9334689974784851","0.9334689974784851"
"95","0.9379715919494629","0.9379715919494629","0.9379715919494629"
"96","0.9282990097999573","0.9282990097999573","0.9282990097999573"
"97","0.8844670057296753","0.8844670057296753","0.8844670057296753"
"98","0.9496182203292847","0.9496182203292847","0.9496182203292847"
"99","0.9535442590713501","0.9535442590713501","0.9535442590713501"
"100","0.9436056613922119","0.9436056613922119","0.9436056613922119"
"101","0.9134457111358643","0.9134457111358643","0.9134457111358643"
"102","0.9053061008453369","0.9053061008453369","0.9053061008453369"
"103","0.9165527820587158","0.9165527820587158","0.9165527820587158"
"104","0.9474605321884155","0.9474605321884155","0.9474605321884155"
"105","0.9486915469169617","0.9486915469169617","0.9486915469169617"
"106","0.9239458441734314","0.9239458441734314","0.9239458441734314"
"107","0.9089509844779968","0.9089509844779968","0.9089509844779968"
