"Step","woven-puddle-82 - val/ssim_atten","woven-puddle-82 - val/ssim_atten__MIN","woven-puddle-82 - val/ssim_atten__MAX"
"95","0.23832030594348907","0.23832030594348907","0.23832030594348907"
"97","0.24125045537948608","0.24125045537948608","0.24125045537948608"
"99","0.31164103746414185","0.31164103746414185","0.31164103746414185"
"101","0.2525504529476166","0.2525504529476166","0.2525504529476166"
"578","0.600715696811676","0.600715696811676","0.600715696811676"
"580","0.6278641223907471","0.6278641223907471","0.6278641223907471"
"582","0.6479306817054749","0.6479306817054749","0.6479306817054749"
"584","0.6173689365386963","0.6173689365386963","0.6173689365386963"
"1061","0.8273680210113525","0.8273680210113525","0.8273680210113525"
"1063","0.831523060798645","0.831523060798645","0.831523060798645"
"1065","0.8242964148521423","0.8242964148521423","0.8242964148521423"
"1067","0.8231544494628906","0.8231544494628906","0.8231544494628906"
"1544","0.7466800212860107","0.7466800212860107","0.7466800212860107"
"1546","0.7372214794158936","0.7372214794158936","0.7372214794158936"
"1548","0.7871912717819214","0.7871912717819214","0.7871912717819214"
"1550","0.6735369563102722","0.6735369563102722","0.6735369563102722"
"2027","0.8658912777900696","0.8658912777900696","0.8658912777900696"
"2029","0.8683352470397949","0.8683352470397949","0.8683352470397949"
"2031","0.8802304267883301","0.8802304267883301","0.8802304267883301"
"2033","0.8574410080909729","0.8574410080909729","0.8574410080909729"
"2510","0.8925257921218872","0.8925257921218872","0.8925257921218872"
"2512","0.8959988355636597","0.8959988355636597","0.8959988355636597"
"2514","0.8957757949829102","0.8957757949829102","0.8957757949829102"
"2516","0.887055516242981","0.887055516242981","0.887055516242981"
"2993","0.8910713791847229","0.8910713791847229","0.8910713791847229"
"2995","0.8938449621200562","0.8938449621200562","0.8938449621200562"
"2997","0.8892943859100342","0.8892943859100342","0.8892943859100342"
"2999","0.883744478225708","0.883744478225708","0.883744478225708"
"3476","0.8814659118652344","0.8814659118652344","0.8814659118652344"
"3478","0.8732898235321045","0.8732898235321045","0.8732898235321045"
"3480","0.8866559863090515","0.8866559863090515","0.8866559863090515"
"3482","0.8640018701553345","0.8640018701553345","0.8640018701553345"
"3959","0.874603271484375","0.874603271484375","0.874603271484375"
"3961","0.8799036145210266","0.8799036145210266","0.8799036145210266"
"3963","0.8754454255104065","0.8754454255104065","0.8754454255104065"
"3965","0.8790478706359863","0.8790478706359863","0.8790478706359863"
"4442","0.9158841371536255","0.9158841371536255","0.9158841371536255"
"4444","0.9054057598114014","0.9054057598114014","0.9054057598114014"
"4446","0.9149013757705688","0.9149013757705688","0.9149013757705688"
"4448","0.9071019887924194","0.9071019887924194","0.9071019887924194"
"4925","0.8936161994934082","0.8936161994934082","0.8936161994934082"
"4927","0.8957846760749817","0.8957846760749817","0.8957846760749817"
"4929","0.8970065116882324","0.8970065116882324","0.8970065116882324"
"4931","0.8934459686279297","0.8934459686279297","0.8934459686279297"
"5408","0.8463990688323975","0.8463990688323975","0.8463990688323975"
"5410","0.8711249232292175","0.8711249232292175","0.8711249232292175"
"5412","0.8728514909744263","0.8728514909744263","0.8728514909744263"
"5414","0.8399772644042969","0.8399772644042969","0.8399772644042969"
"5891","0.8340935707092285","0.8340935707092285","0.8340935707092285"
"5893","0.8396399021148682","0.8396399021148682","0.8396399021148682"
"5895","0.8566120862960815","0.8566120862960815","0.8566120862960815"
"5897","0.8355225920677185","0.8355225920677185","0.8355225920677185"
"6374","0.9224861860275269","0.9224861860275269","0.9224861860275269"
