"Step","feasible-paper-136 - test/ssim_scat","feasible-paper-136 - test/ssim_scat__MIN","feasible-paper-136 - test/ssim_scat__MAX"
"0","0.9140890836715698","0.9140890836715698","0.9140890836715698"
"1","0.9223469495773315","0.9223469495773315","0.9223469495773315"
"2","0.9468406438827515","0.9468406438827515","0.9468406438827515"
"3","0.8639774322509766","0.8639774322509766","0.8639774322509766"
"4","0.9029592871665955","0.9029592871665955","0.9029592871665955"
"5","0.9261665344238281","0.9261665344238281","0.9261665344238281"
"6","0.9118828773498535","0.9118828773498535","0.9118828773498535"
"7","0.885229229927063","0.885229229927063","0.885229229927063"
"8","0.9277417659759521","0.9277417659759521","0.9277417659759521"
"9","0.9635858535766602","0.9635858535766602","0.9635858535766602"
"10","0.9121607542037964","0.9121607542037964","0.9121607542037964"
"11","0.9338037967681885","0.9338037967681885","0.9338037967681885"
"12","0.9587315320968628","0.9587315320968628","0.9587315320968628"
"13","0.8288673162460327","0.8288673162460327","0.8288673162460327"
"14","0.9274224042892456","0.9274224042892456","0.9274224042892456"
"15","0.9177301526069641","0.9177301526069641","0.9177301526069641"
"17","0.8976802825927734","0.8976802825927734","0.8976802825927734"
"18","0.88844895362854","0.88844895362854","0.88844895362854"
"19","0.9251880049705505","0.9251880049705505","0.9251880049705505"
"20","0.9373626112937927","0.9373626112937927","0.9373626112937927"
"21","0.8909562826156616","0.8909562826156616","0.8909562826156616"
"22","0.9126594066619873","0.9126594066619873","0.9126594066619873"
"23","0.9169100522994995","0.9169100522994995","0.9169100522994995"
"24","0.953157901763916","0.953157901763916","0.953157901763916"
"25","0.8909932374954224","0.8909932374954224","0.8909932374954224"
"26","0.9593934416770935","0.9593934416770935","0.9593934416770935"
"27","0.9350258111953735","0.9350258111953735","0.9350258111953735"
"28","0.9303805828094482","0.9303805828094482","0.9303805828094482"
"29","0.9317482709884644","0.9317482709884644","0.9317482709884644"
"30","0.9411945343017578","0.9411945343017578","0.9411945343017578"
"31","0.901337206363678","0.901337206363678","0.901337206363678"
"32","0.9359157085418701","0.9359157085418701","0.9359157085418701"
"33","0.9609272480010986","0.9609272480010986","0.9609272480010986"
"34","0.9233375191688538","0.9233375191688538","0.9233375191688538"
"35","0.9313423037528992","0.9313423037528992","0.9313423037528992"
"36","0.9615515470504761","0.9615515470504761","0.9615515470504761"
