"Step","serene-sun-203 - test/rmse_scat","serene-sun-203 - test/rmse_scat__MIN","serene-sun-203 - test/rmse_scat__MAX"
"1","0.01744447834789753","0.01744447834789753","0.01744447834789753"
"2","0.010261453688144684","0.010261453688144684","0.010261453688144684"
"3","0.004119879566133022","0.004119879566133022","0.004119879566133022"
"4","0.01238412968814373","0.01238412968814373","0.01238412968814373"
"5","0.012316991575062275","0.012316991575062275","0.012316991575062275"
"6","0.011497577652335167","0.011497577652335167","0.011497577652335167"
"7","0.017463484779000282","0.017463484779000282","0.017463484779000282"
"8","0.031087173148989677","0.031087173148989677","0.031087173148989677"
"9","0.012758294120430946","0.012758294120430946","0.012758294120430946"
"10","0.012037672102451324","0.012037672102451324","0.012037672102451324"
"11","0.021980412304401398","0.021980412304401398","0.021980412304401398"
"12","0.008701993152499199","0.008701993152499199","0.008701993152499199"
"13","0.014987731352448463","0.014987731352448463","0.014987731352448463"
"14","0.013232444413006306","0.013232444413006306","0.013232444413006306"
"15","0.020933447405695915","0.020933447405695915","0.020933447405695915"
"16","0.04613007605075836","0.04613007605075836","0.04613007605075836"
"18","0.012083033099770546","0.012083033099770546","0.012083033099770546"
"19","0.011863396503031254","0.011863396503031254","0.011863396503031254"
"20","0.012597913853824139","0.012597913853824139","0.012597913853824139"
"21","0.014225217513740063","0.014225217513740063","0.014225217513740063"
"22","0.02411019802093506","0.02411019802093506","0.02411019802093506"
"23","0.027054892852902412","0.027054892852902412","0.027054892852902412"
"24","0.0064057293348014355","0.0064057293348014355","0.0064057293348014355"
"25","0.0141393281519413","0.0141393281519413","0.0141393281519413"
"26","0.015203660354018211","0.015203660354018211","0.015203660354018211"
"27","0.021485956385731697","0.021485956385731697","0.021485956385731697"
"28","0.006937025114893913","0.006937025114893913","0.006937025114893913"
"29","0.038975588977336884","0.038975588977336884","0.038975588977336884"
"30","0.0256955623626709","0.0256955623626709","0.0256955623626709"
"31","0.03411142900586128","0.03411142900586128","0.03411142900586128"
"32","0.024943606927990913","0.024943606927990913","0.024943606927990913"
"33","0.027787748724222183","0.027787748724222183","0.027787748724222183"
"34","0.011443903669714928","0.011443903669714928","0.011443903669714928"
"35","0.013829669915139675","0.013829669915139675","0.013829669915139675"
"36","0.034878093749284744","0.034878093749284744","0.034878093749284744"
"37","0.01370551809668541","0.01370551809668541","0.01370551809668541"
"38","0.00737194437533617","0.00737194437533617","0.00737194437533617"
"39","0.009112508967518806","0.009112508967518806","0.009112508967518806"
"40","0.01497878972440958","0.01497878972440958","0.01497878972440958"
"41","0.009984313510358334","0.009984313510358334","0.009984313510358334"
"42","0.013619281351566315","0.013619281351566315","0.013619281351566315"
"43","0.019243590533733368","0.019243590533733368","0.019243590533733368"
"44","0.011944722384214401","0.011944722384214401","0.011944722384214401"
"45","0.02196691185235977","0.02196691185235977","0.02196691185235977"
"46","0.005266220308840275","0.005266220308840275","0.005266220308840275"
"47","0.004100287798792124","0.004100287798792124","0.004100287798792124"
"48","0.0172436460852623","0.0172436460852623","0.0172436460852623"
"49","0.0042204405181109905","0.0042204405181109905","0.0042204405181109905"
"51","0.011272755451500416","0.011272755451500416","0.011272755451500416"
"52","0.021573049947619438","0.021573049947619438","0.021573049947619438"
"53","0.013380684889853","0.013380684889853","0.013380684889853"
"54","0.00830487348139286","0.00830487348139286","0.00830487348139286"
"55","0.012427234090864658","0.012427234090864658","0.012427234090864658"
"56","0.015379027463495731","0.015379027463495731","0.015379027463495731"
"57","0.0050420938059687614","0.0050420938059687614","0.0050420938059687614"
"58","0.01271635852754116","0.01271635852754116","0.01271635852754116"
"59","0.013063503429293633","0.013063503429293633","0.013063503429293633"
"60","0.022913282737135887","0.022913282737135887","0.022913282737135887"
