"Step","vocal-sun-198 - test/ssim_scat","vocal-sun-198 - test/ssim_scat__MIN","vocal-sun-198 - test/ssim_scat__MAX"
"0","0.8720322847366333","0.8720322847366333","0.8720322847366333"
"1","0.9237369298934937","0.9237369298934937","0.9237369298934937"
"2","0.9163525104522705","0.9163525104522705","0.9163525104522705"
"3","0.9071282148361206","0.9071282148361206","0.9071282148361206"
"4","0.8943507075309753","0.8943507075309753","0.8943507075309753"
"5","0.8856576681137085","0.8856576681137085","0.8856576681137085"
"6","0.8986440896987915","0.8986440896987915","0.8986440896987915"
"7","0.8416061401367188","0.8416061401367188","0.8416061401367188"
"8","0.8860514760017395","0.8860514760017395","0.8860514760017395"
"9","0.899539053440094","0.899539053440094","0.899539053440094"
"10","0.9382880926132202","0.9382880926132202","0.9382880926132202"
"11","0.8974661231040955","0.8974661231040955","0.8974661231040955"
"12","0.9295779466629028","0.9295779466629028","0.9295779466629028"
"13","0.8876929879188538","0.8876929879188538","0.8876929879188538"
"14","0.8915746212005615","0.8915746212005615","0.8915746212005615"
"15","0.8304048776626587","0.8304048776626587","0.8304048776626587"
"17","0.9295149445533752","0.9295149445533752","0.9295149445533752"
"18","0.9156054258346558","0.9156054258346558","0.9156054258346558"
"19","0.8841375112533569","0.8841375112533569","0.8841375112533569"
"20","0.8991361856460571","0.8991361856460571","0.8991361856460571"
"21","0.898614227771759","0.898614227771759","0.898614227771759"
"22","0.8672263622283936","0.8672263622283936","0.8672263622283936"
"23","0.9017951488494873","0.9017951488494873","0.9017951488494873"
"24","0.9360023736953735","0.9360023736953735","0.9360023736953735"
"25","0.916187047958374","0.916187047958374","0.916187047958374"
"26","0.8716710209846497","0.8716710209846497","0.8716710209846497"
"27","0.9080801010131836","0.9080801010131836","0.9080801010131836"
"28","0.8898951411247253","0.8898951411247253","0.8898951411247253"
"29","0.8966214060783386","0.8966214060783386","0.8966214060783386"
"30","0.8696320056915283","0.8696320056915283","0.8696320056915283"
"31","0.9029706716537476","0.9029706716537476","0.9029706716537476"
"32","0.9038060903549194","0.9038060903549194","0.9038060903549194"
"33","0.8948753476142883","0.8948753476142883","0.8948753476142883"
"34","0.9242657423019409","0.9242657423019409","0.9242657423019409"
"35","0.8693310022354126","0.8693310022354126","0.8693310022354126"
"36","0.9293492436408997","0.9293492436408997","0.9293492436408997"
"37","0.8905808925628662","0.8905808925628662","0.8905808925628662"
"38","0.9248223304748535","0.9248223304748535","0.9248223304748535"
"39","0.9019725322723389","0.9019725322723389","0.9019725322723389"
"40","0.894501268863678","0.894501268863678","0.894501268863678"
"41","0.8977710604667664","0.8977710604667664","0.8977710604667664"
"42","0.8754295110702515","0.8754295110702515","0.8754295110702515"
"43","0.9110496640205383","0.9110496640205383","0.9110496640205383"
"44","0.8858883380889893","0.8858883380889893","0.8858883380889893"
"45","0.9074016809463501","0.9074016809463501","0.9074016809463501"
"46","0.9184215068817139","0.9184215068817139","0.9184215068817139"
"47","0.8804645538330078","0.8804645538330078","0.8804645538330078"
"48","0.9191250205039978","0.9191250205039978","0.9191250205039978"
"50","0.9104886054992676","0.9104886054992676","0.9104886054992676"
"51","0.8913117051124573","0.8913117051124573","0.8913117051124573"
"52","0.9046821594238281","0.9046821594238281","0.9046821594238281"
"53","0.8991498351097107","0.8991498351097107","0.8991498351097107"
"54","0.9016243815422058","0.9016243815422058","0.9016243815422058"
"55","0.9011352062225342","0.9011352062225342","0.9011352062225342"
"56","0.91434246301651","0.91434246301651","0.91434246301651"
"57","0.8989117741584778","0.8989117741584778","0.8989117741584778"
"58","0.9089593291282654","0.9089593291282654","0.9089593291282654"
"59","0.8677587509155273","0.8677587509155273","0.8677587509155273"
"60","0.910183846950531","0.910183846950531","0.910183846950531"
"61","0.8690648078918457","0.8690648078918457","0.8690648078918457"
"62","0.8804194927215576","0.8804194927215576","0.8804194927215576"
"63","0.9199148416519165","0.9199148416519165","0.9199148416519165"
"64","0.9130018353462219","0.9130018353462219","0.9130018353462219"
"65","0.8904770612716675","0.8904770612716675","0.8904770612716675"
"66","0.919672966003418","0.919672966003418","0.919672966003418"
"67","0.8917803764343262","0.8917803764343262","0.8917803764343262"
"68","0.8963873386383057","0.8963873386383057","0.8963873386383057"
"69","0.9015250205993652","0.9015250205993652","0.9015250205993652"
"70","0.8852227926254272","0.8852227926254272","0.8852227926254272"
"71","0.9049056768417358","0.9049056768417358","0.9049056768417358"
"72","0.8750491142272949","0.8750491142272949","0.8750491142272949"
"73","0.916576623916626","0.916576623916626","0.916576623916626"
"74","0.9311600923538208","0.9311600923538208","0.9311600923538208"
"75","0.8758158683776855","0.8758158683776855","0.8758158683776855"
"76","0.9119303226470947","0.9119303226470947","0.9119303226470947"
"77","0.9126270413398743","0.9126270413398743","0.9126270413398743"
"78","0.9133002161979675","0.9133002161979675","0.9133002161979675"
"79","0.8377225399017334","0.8377225399017334","0.8377225399017334"
"80","0.8976650238037109","0.8976650238037109","0.8976650238037109"
"81","0.9086827039718628","0.9086827039718628","0.9086827039718628"
"83","0.9281522631645203","0.9281522631645203","0.9281522631645203"
"84","0.9196786284446716","0.9196786284446716","0.9196786284446716"
"85","0.848318874835968","0.848318874835968","0.848318874835968"
"86","0.915454626083374","0.915454626083374","0.915454626083374"
"87","0.9212106466293335","0.9212106466293335","0.9212106466293335"
"88","0.9143210649490356","0.9143210649490356","0.9143210649490356"
"89","0.9169644713401794","0.9169644713401794","0.9169644713401794"
"90","0.9058588147163391","0.9058588147163391","0.9058588147163391"
"91","0.8833450675010681","0.8833450675010681","0.8833450675010681"
"92","0.921797513961792","0.921797513961792","0.921797513961792"
"93","0.9064700603485107","0.9064700603485107","0.9064700603485107"
"94","0.9084475040435791","0.9084475040435791","0.9084475040435791"
"95","0.8756603002548218","0.8756603002548218","0.8756603002548218"
"96","0.9249475598335266","0.9249475598335266","0.9249475598335266"
"97","0.9358252286911011","0.9358252286911011","0.9358252286911011"
"98","0.919926643371582","0.919926643371582","0.919926643371582"
"99","0.9301640391349792","0.9301640391349792","0.9301640391349792"
"100","0.9059491157531738","0.9059491157531738","0.9059491157531738"
"101","0.8948864936828613","0.8948864936828613","0.8948864936828613"
