"Step","woven-puddle-82 - val/ssim_scat","woven-puddle-82 - val/ssim_scat__MIN","woven-puddle-82 - val/ssim_scat__MAX"
"95","0.282876193523407","0.282876193523407","0.282876193523407"
"97","0.30945175886154175","0.30945175886154175","0.30945175886154175"
"99","0.38800063729286194","0.38800063729286194","0.38800063729286194"
"101","0.2987203001976013","0.2987203001976013","0.2987203001976013"
"578","0.7248247265815735","0.7248247265815735","0.7248247265815735"
"580","0.7392659187316895","0.7392659187316895","0.7392659187316895"
"582","0.7588624358177185","0.7588624358177185","0.7588624358177185"
"584","0.7415382862091064","0.7415382862091064","0.7415382862091064"
"1061","0.8480855226516724","0.8480855226516724","0.8480855226516724"
"1063","0.8581770658493042","0.8581770658493042","0.8581770658493042"
"1065","0.8462790250778198","0.8462790250778198","0.8462790250778198"
"1067","0.8573000431060791","0.8573000431060791","0.8573000431060791"
"1544","0.7956750392913818","0.7956750392913818","0.7956750392913818"
"1546","0.8114060163497925","0.8114060163497925","0.8114060163497925"
"1548","0.8312450647354126","0.8312450647354126","0.8312450647354126"
"1550","0.7901121973991394","0.7901121973991394","0.7901121973991394"
"2027","0.8805137276649475","0.8805137276649475","0.8805137276649475"
"2029","0.8787565231323242","0.8787565231323242","0.8787565231323242"
"2031","0.8779352903366089","0.8779352903366089","0.8779352903366089"
"2033","0.8852530717849731","0.8852530717849731","0.8852530717849731"
"2510","0.9103598594665527","0.9103598594665527","0.9103598594665527"
"2512","0.9000273942947388","0.9000273942947388","0.9000273942947388"
"2514","0.8943294286727905","0.8943294286727905","0.8943294286727905"
"2516","0.8949981927871704","0.8949981927871704","0.8949981927871704"
"2993","0.8710941076278687","0.8710941076278687","0.8710941076278687"
"2995","0.864990234375","0.864990234375","0.864990234375"
"2997","0.8516090512275696","0.8516090512275696","0.8516090512275696"
"2999","0.8727270364761353","0.8727270364761353","0.8727270364761353"
"3476","0.8836027979850769","0.8836027979850769","0.8836027979850769"
"3478","0.8699718713760376","0.8699718713760376","0.8699718713760376"
"3480","0.888771653175354","0.888771653175354","0.888771653175354"
"3482","0.8663154244422913","0.8663154244422913","0.8663154244422913"
"3959","0.890484631061554","0.890484631061554","0.890484631061554"
"3961","0.8871769309043884","0.8871769309043884","0.8871769309043884"
"3963","0.8888956308364868","0.8888956308364868","0.8888956308364868"
"3965","0.8895625472068787","0.8895625472068787","0.8895625472068787"
"4442","0.9260814189910889","0.9260814189910889","0.9260814189910889"
"4444","0.9317850470542908","0.9317850470542908","0.9317850470542908"
"4446","0.9237427115440369","0.9237427115440369","0.9237427115440369"
"4448","0.9294018149375916","0.9294018149375916","0.9294018149375916"
"4925","0.9062348008155823","0.9062348008155823","0.9062348008155823"
"4927","0.9081514477729797","0.9081514477729797","0.9081514477729797"
"4929","0.9100989699363708","0.9100989699363708","0.9100989699363708"
"4931","0.9073790311813354","0.9073790311813354","0.9073790311813354"
"5408","0.9157757759094238","0.9157757759094238","0.9157757759094238"
"5410","0.9273474216461182","0.9273474216461182","0.9273474216461182"
"5412","0.9260532259941101","0.9260532259941101","0.9260532259941101"
"5414","0.9264975786209106","0.9264975786209106","0.9264975786209106"
"5891","0.8711219429969788","0.8711219429969788","0.8711219429969788"
"5893","0.8753611445426941","0.8753611445426941","0.8753611445426941"
"5895","0.8879774808883667","0.8879774808883667","0.8879774808883667"
"5897","0.8792211413383484","0.8792211413383484","0.8792211413383484"
"6374","0.9289591312408447","0.9289591312408447","0.9289591312408447"
"6376","0.938593327999115","0.938593327999115","0.938593327999115"
"6378","0.9243139028549194","0.9243139028549194","0.9243139028549194"
"6380","0.9261044263839722","0.9261044263839722","0.9261044263839722"
"6857","0.9167526960372925","0.9167526960372925","0.9167526960372925"
"6859","0.9123020768165588","0.9123020768165588","0.9123020768165588"
"6861","0.9042690992355347","0.9042690992355347","0.9042690992355347"
"6863","0.9109725952148438","0.9109725952148438","0.9109725952148438"
"7340","0.938215970993042","0.938215970993042","0.938215970993042"
"7342","0.9436444640159607","0.9436444640159607","0.9436444640159607"
"7344","0.9358938336372375","0.9358938336372375","0.9358938336372375"
"7346","0.9322046041488647","0.9322046041488647","0.9322046041488647"
"7823","0.923557698726654","0.923557698726654","0.923557698726654"
"7825","0.9147288799285889","0.9147288799285889","0.9147288799285889"
"7827","0.9205135107040405","0.9205135107040405","0.9205135107040405"
"7829","0.9181805849075317","0.9181805849075317","0.9181805849075317"
"8306","0.9416220784187317","0.9416220784187317","0.9416220784187317"
"8308","0.9371877908706665","0.9371877908706665","0.9371877908706665"
"8310","0.9346631169319153","0.9346631169319153","0.9346631169319153"
"8312","0.9400330781936646","0.9400330781936646","0.9400330781936646"
"8789","0.9156877994537354","0.9156877994537354","0.9156877994537354"
"8791","0.9226388931274414","0.9226388931274414","0.9226388931274414"
"8793","0.9241752624511719","0.9241752624511719","0.9241752624511719"
"8795","0.9267768859863281","0.9267768859863281","0.9267768859863281"
"9272","0.9370394349098206","0.9370394349098206","0.9370394349098206"
"9274","0.9370452165603638","0.9370452165603638","0.9370452165603638"
"9276","0.9329128861427307","0.9329128861427307","0.9329128861427307"
"9278","0.9376033544540405","0.9376033544540405","0.9376033544540405"
"9755","0.9366143941879272","0.9366143941879272","0.9366143941879272"
"9757","0.9385074973106384","0.9385074973106384","0.9385074973106384"
"9759","0.9356436729431152","0.9356436729431152","0.9356436729431152"
"9761","0.9395487308502197","0.9395487308502197","0.9395487308502197"
"10238","0.9457483291625977","0.9457483291625977","0.9457483291625977"
"10240","0.9394423365592957","0.9394423365592957","0.9394423365592957"
"10242","0.9402197599411011","0.9402197599411011","0.9402197599411011"
"10244","0.9360243678092957","0.9360243678092957","0.9360243678092957"
"10721","0.9390366077423096","0.9390366077423096","0.9390366077423096"
"10723","0.9380253553390503","0.9380253553390503","0.9380253553390503"
"10725","0.9344474673271179","0.9344474673271179","0.9344474673271179"
"10727","0.9400538206100464","0.9400538206100464","0.9400538206100464"
"11204","0.925959050655365","0.925959050655365","0.925959050655365"
"11206","0.9303333759307861","0.9303333759307861","0.9303333759307861"
"11208","0.9241002202033997","0.9241002202033997","0.9241002202033997"
"11210","0.9298669695854187","0.9298669695854187","0.9298669695854187"
"11687","0.9416239261627197","0.9416239261627197","0.9416239261627197"
"11689","0.9411279559135437","0.9411279559135437","0.9411279559135437"
"11691","0.9407558441162109","0.9407558441162109","0.9407558441162109"
"11693","0.9418630003929138","0.9418630003929138","0.9418630003929138"
"12170","0.9329031705856323","0.9329031705856323","0.9329031705856323"
"12172","0.9363998174667358","0.9363998174667358","0.9363998174667358"
"12174","0.9371647238731384","0.9371647238731384","0.9371647238731384"
"12176","0.9407981634140015","0.9407981634140015","0.9407981634140015"
