"Step","vocal-sun-198 - test/psnr_scat","vocal-sun-198 - test/psnr_scat__MIN","vocal-sun-198 - test/psnr_scat__MAX"
"0","34.39930725097656","34.39930725097656","34.39930725097656"
"1","41.51479721069336","41.51479721069336","41.51479721069336"
"2","47.33940124511719","47.33940124511719","47.33940124511719"
"3","39.980045318603516","39.980045318603516","39.980045318603516"
"4","36.88936996459961","36.88936996459961","36.88936996459961"
"5","37.596473693847656","37.596473693847656","37.596473693847656"
"6","34.14983367919922","34.14983367919922","34.14983367919922"
"7","29.177949905395508","29.177949905395508","29.177949905395508"
"8","36.42853546142578","36.42853546142578","36.42853546142578"
"9","37.452301025390625","37.452301025390625","37.452301025390625"
"10","33.439640045166016","33.439640045166016","33.439640045166016"
"11","40.42619705200195","40.42619705200195","40.42619705200195"
"12","41.19282913208008","41.19282913208008","41.19282913208008"
"13","37.5589714050293","37.5589714050293","37.5589714050293"
"14","32.83623123168945","32.83623123168945","32.83623123168945"
"15","25.634809494018555","25.634809494018555","25.634809494018555"
"17","39.50969314575195","39.50969314575195","39.50969314575195"
"18","39.35908126831055","39.35908126831055","39.35908126831055"
"19","32.10226058959961","32.10226058959961","32.10226058959961"
"20","35.108951568603516","35.108951568603516","35.108951568603516"
"21","33.2053108215332","33.2053108215332","33.2053108215332"
"22","30.73883628845215","30.73883628845215","30.73883628845215"
"23","41.12866973876953","41.12866973876953","41.12866973876953"
"24","41.81806182861328","41.81806182861328","41.81806182861328"
"25","37.04022216796875","37.04022216796875","37.04022216796875"
"26","33.53804397583008","33.53804397583008","33.53804397583008"
"27","41.2059211730957","41.2059211730957","41.2059211730957"
"28","29.7026309967041","29.7026309967041","29.7026309967041"
"29","31.80008888244629","31.80008888244629","31.80008888244629"
"30","29.87913703918457","29.87913703918457","29.87913703918457"
"31","32.54923629760742","32.54923629760742","32.54923629760742"
"32","32.38002014160156","32.38002014160156","32.38002014160156"
"33","39.13795852661133","39.13795852661133","39.13795852661133"
"34","41.24285125732422","41.24285125732422","41.24285125732422"
"35","27.953838348388672","27.953838348388672","27.953838348388672"
"36","41.47337341308594","41.47337341308594","41.47337341308594"
"37","39.205360412597656","39.205360412597656","39.205360412597656"
"38","41.30604553222656","41.30604553222656","41.30604553222656"
"39","38.3390998840332","38.3390998840332","38.3390998840332"
"40","38.10306930541992","38.10306930541992","38.10306930541992"
"41","36.025447845458984","36.025447845458984","36.025447845458984"
"42","33.80202102661133","33.80202102661133","33.80202102661133"
"43","40.04458236694336","40.04458236694336","40.04458236694336"
"44","32.73495864868164","32.73495864868164","32.73495864868164"
"45","44.512733459472656","44.512733459472656","44.512733459472656"
"46","47.46937942504883","47.46937942504883","47.46937942504883"
"47","33.179908752441406","33.179908752441406","33.179908752441406"
"48","47.339874267578125","47.339874267578125","47.339874267578125"
"50","40.30027770996094","40.30027770996094","40.30027770996094"
"51","33.118953704833984","33.118953704833984","33.118953704833984"
"52","39.52864456176758","39.52864456176758","39.52864456176758"
"53","40.43291473388672","40.43291473388672","40.43291473388672"
"54","39.0613899230957","39.0613899230957","39.0613899230957"
"55","35.91794204711914","35.91794204711914","35.91794204711914"
"56","44.8740119934082","44.8740119934082","44.8740119934082"
"57","36.53396224975586","36.53396224975586","36.53396224975586"
"58","39.49939727783203","39.49939727783203","39.49939727783203"
"59","32.24411392211914","32.24411392211914","32.24411392211914"
"60","38.37010955810547","38.37010955810547","38.37010955810547"
"61","29.556365966796875","29.556365966796875","29.556365966796875"
"62","32.397911071777344","32.397911071777344","32.397911071777344"
"63","47.558807373046875","47.558807373046875","47.558807373046875"
"64","43.66043472290039","43.66043472290039","43.66043472290039"
"65","34.2015266418457","34.2015266418457","34.2015266418457"
"66","41.381683349609375","41.381683349609375","41.381683349609375"
"67","35.52804946899414","35.52804946899414","35.52804946899414"
"68","39.70224380493164","39.70224380493164","39.70224380493164"
"69","39.5500373840332","39.5500373840332","39.5500373840332"
"70","37.99669647216797","37.99669647216797","37.99669647216797"
"71","37.00212478637695","37.00212478637695","37.00212478637695"
"72","33.33292770385742","33.33292770385742","33.33292770385742"
"73","47.075252532958984","47.075252532958984","47.075252532958984"
"74","40.42551040649414","40.42551040649414","40.42551040649414"
"75","36.12301254272461","36.12301254272461","36.12301254272461"
"76","40.35743713378906","40.35743713378906","40.35743713378906"
"77","42.93182373046875","42.93182373046875","42.93182373046875"
"78","40.29024887084961","40.29024887084961","40.29024887084961"
"79","25.66345977783203","25.66345977783203","25.66345977783203"
"80","37.798553466796875","37.798553466796875","37.798553466796875"
"81","39.727901458740234","39.727901458740234","39.727901458740234"
"83","40.947391510009766","40.947391510009766","40.947391510009766"
"84","40.35174560546875","40.35174560546875","40.35174560546875"
"85","27.94424057006836","27.94424057006836","27.94424057006836"
"86","39.634857177734375","39.634857177734375","39.634857177734375"
"87","34.65309143066406","34.65309143066406","34.65309143066406"
"88","40.71556091308594","40.71556091308594","40.71556091308594"
"89","40.61894989013672","40.61894989013672","40.61894989013672"
"90","35.8515739440918","35.8515739440918","35.8515739440918"
"91","35.78214645385742","35.78214645385742","35.78214645385742"
"92","38.56458282470703","38.56458282470703","38.56458282470703"
"93","34.41079330444336","34.41079330444336","34.41079330444336"
"94","40.69856643676758","40.69856643676758","40.69856643676758"
"95","34.82823181152344","34.82823181152344","34.82823181152344"
"96","40.03342819213867","40.03342819213867","40.03342819213867"
"97","43.073726654052734","43.073726654052734","43.073726654052734"
