"Step","gallant-spaceship-199 - test/rmse_scat","gallant-spaceship-199 - test/rmse_scat__MIN","gallant-spaceship-199 - test/rmse_scat__MAX"
"0","0.01609010063111782","0.01609010063111782","0.01609010063111782"
"1","0.007602484431117773","0.007602484431117773","0.007602484431117773"
"2","0.003930884879082441","0.003930884879082441","0.003930884879082441"
"3","0.012369105592370033","0.012369105592370033","0.012369105592370033"
"4","0.008651119656860828","0.008651119656860828","0.008651119656860828"
"5","0.007109809201210737","0.007109809201210737","0.007109809201210737"
"6","0.01589815318584442","0.01589815318584442","0.01589815318584442"
"7","0.02724955976009369","0.02724955976009369","0.02724955976009369"
"8","0.008854077197611332","0.008854077197611332","0.008854077197611332"
"9","0.008489425294101238","0.008489425294101238","0.008489425294101238"
"10","0.01512933149933815","0.01512933149933815","0.01512933149933815"
"11","0.006148998625576496","0.006148998625576496","0.006148998625576496"
"12","0.011626061052083969","0.011626061052083969","0.011626061052083969"
"13","0.010752610862255096","0.010752610862255096","0.010752610862255096"
"14","0.01710326597094536","0.01710326597094536","0.01710326597094536"
"15","0.024978404864668846","0.024978404864668846","0.024978404864668846"
"17","0.011284569278359413","0.011284569278359413","0.011284569278359413"
"18","0.011911713518202305","0.011911713518202305","0.011911713518202305"
"19","0.01122878585010767","0.01122878585010767","0.01122878585010767"
"20","0.012868761084973812","0.012868761084973812","0.012868761084973812"
"21","0.01847091317176819","0.01847091317176819","0.01847091317176819"
"22","0.0207988228648901","0.0207988228648901","0.0207988228648901"
"23","0.00511547364294529","0.00511547364294529","0.00511547364294529"
"24","0.011004164814949036","0.011004164814949036","0.011004164814949036"
"25","0.012033086270093918","0.012033086270093918","0.012033086270093918"
"26","0.016822315752506256","0.016822315752506256","0.016822315752506256"
"27","0.005732102785259485","0.005732102785259485","0.005732102785259485"
"28","0.03029509074985981","0.03029509074985981","0.03029509074985981"
"29","0.021560542285442352","0.021560542285442352","0.021560542285442352"
"30","0.027670912444591522","0.027670912444591522","0.027670912444591522"
"31","0.0194597989320755","0.0194597989320755","0.0194597989320755"
"32","0.023251544684171677","0.023251544684171677","0.023251544684171677"
"33","0.010422884486615658","0.010422884486615658","0.010422884486615658"
"34","0.010046678595244884","0.010046678595244884","0.010046678595244884"
"35","0.03222769498825073","0.03222769498825073","0.03222769498825073"
"36","0.010575327090919018","0.010575327090919018","0.010575327090919018"
"37","0.0061796256341040134","0.0061796256341040134","0.0061796256341040134"
"38","0.006707128137350082","0.006707128137350082","0.006707128137350082"
"39","0.012714099138975143","0.012714099138975143","0.012714099138975143"
"40","0.008200607262551785","0.008200607262551785","0.008200607262551785"
"41","0.010202053934335709","0.010202053934335709","0.010202053934335709"
"42","0.017425207421183586","0.017425207421183586","0.017425207421183586"
"43","0.010898754000663757","0.010898754000663757","0.010898754000663757"
"44","0.016284313052892685","0.016284313052892685","0.016284313052892685"
"45","0.004547508899122477","0.004547508899122477","0.004547508899122477"
"46","0.003932720981538296","0.003932720981538296","0.003932720981538296"
"47","0.012262633070349693","0.012262633070349693","0.012262633070349693"
