"Step","pleasant-mountain-202 - test/psnr_scat","pleasant-mountain-202 - test/psnr_scat__MIN","pleasant-mountain-202 - test/psnr_scat__MAX"
"1","34.70469665527344","34.70469665527344","34.70469665527344"
"2","40.073062896728516","40.073062896728516","40.073062896728516"
"3","47.764739990234375","47.764739990234375","47.764739990234375"
"4","38.651187896728516","38.651187896728516","38.651187896728516"
"5","36.009464263916016","36.009464263916016","36.009464263916016"
"6","36.67546081542969","36.67546081542969","36.67546081542969"
"7","35.396820068359375","35.396820068359375","35.396820068359375"
"8","28.20159339904785","28.20159339904785","28.20159339904785"
"9","36.50897216796875","36.50897216796875","36.50897216796875"
"10","37.88330078125","37.88330078125","37.88330078125"
"11","33.49988555908203","33.49988555908203","33.49988555908203"
"12","41.21357727050781","41.21357727050781","41.21357727050781"
"13","38.48942184448242","38.48942184448242","38.48942184448242"
"14","38.215614318847656","38.215614318847656","38.215614318847656"
"15","31.95071792602539","31.95071792602539","31.95071792602539"
"16","24.006208419799805","24.006208419799805","24.006208419799805"
"18","35.83443069458008","35.83443069458008","35.83443069458008"
"19","39.48042678833008","39.48042678833008","39.48042678833008"
"20","33.93672180175781","33.93672180175781","33.93672180175781"
"21","35.62982940673828","35.62982940673828","35.62982940673828"
"22","32.030609130859375","32.030609130859375","32.030609130859375"
"23","31.038179397583008","31.038179397583008","31.038179397583008"
"24","41.55804443359375","41.55804443359375","41.55804443359375"
"25","36.45408248901367","36.45408248901367","36.45408248901367"
"26","37.17083740234375","37.17083740234375","37.17083740234375"
"27","32.691612243652344","32.691612243652344","32.691612243652344"
"28","41.473777770996094","41.473777770996094","41.473777770996094"
"29","29.010107040405273","29.010107040405273","29.010107040405273"
"30","30.51805877685547","30.51805877685547","30.51805877685547"
"31","28.907855987548828","28.907855987548828","28.907855987548828"
"32","31.715932846069336","31.715932846069336","31.715932846069336"
"33","31.951030731201172","31.951030731201172","31.951030731201172"
"34","39.19217300415039","39.19217300415039","39.19217300415039"
"35","38.30649185180664","38.30649185180664","38.30649185180664"
"36","28.24431037902832","28.24431037902832","28.24431037902832"
"37","38.2632942199707","38.2632942199707","38.2632942199707"
"38","38.58694839477539","38.58694839477539","38.58694839477539"
"39","39.93783187866211","39.93783187866211","39.93783187866211"
"40","37.245670318603516","37.245670318603516","37.245670318603516"
"41","37.21118927001953","37.21118927001953","37.21118927001953"
"42","35.92253112792969","35.92253112792969","35.92253112792969"
"43","33.548519134521484","33.548519134521484","33.548519134521484"
"44","36.82814025878906","36.82814025878906","36.82814025878906"
"45","33.83918380737305","33.83918380737305","33.83918380737305"
"46","44.13388442993164","44.13388442993164","44.13388442993164"
"47","47.762550354003906","47.762550354003906","47.762550354003906"
"48","34.15758514404297","34.15758514404297","34.15758514404297"
"49","47.69982147216797","47.69982147216797","47.69982147216797"
"51","38.50072479248047","38.50072479248047","38.50072479248047"
"52","33.023902893066406","33.023902893066406","33.023902893066406"
"53","37.74750900268555","37.74750900268555","37.74750900268555"
"54","38.264190673828125","38.264190673828125","38.264190673828125"
"55","37.45808029174805","37.45808029174805","37.45808029174805"
"56","36.02943420410156","36.02943420410156","36.02943420410156"
"57","45.40825653076172","45.40825653076172","45.40825653076172"
"58","36.799903869628906","36.799903869628906","36.799903869628906"
"59","36.559486389160156","36.559486389160156","36.559486389160156"
"60","32.67469787597656","32.67469787597656","32.67469787597656"
"61","36.34442138671875","36.34442138671875","36.34442138671875"
"62","28.849712371826172","28.849712371826172","28.849712371826172"
"63","32.36482620239258","32.36482620239258","32.36482620239258"
"64","47.543514251708984","47.543514251708984","47.543514251708984"
"65","43.59425735473633","43.59425735473633","43.59425735473633"
"66","32.93301773071289","32.93301773071289","32.93301773071289"
"67","40.08517074584961","40.08517074584961","40.08517074584961"
"68","35.46001434326172","35.46001434326172","35.46001434326172"
"69","38.805580139160156","38.805580139160156","38.805580139160156"
"70","38.08417892456055","38.08417892456055","38.08417892456055"
"71","37.433048248291016","37.433048248291016","37.433048248291016"
"72","38.54740524291992","38.54740524291992","38.54740524291992"
"73","33.292449951171875","33.292449951171875","33.292449951171875"
"74","47.091800689697266","47.091800689697266","47.091800689697266"
"75","37.70102310180664","37.70102310180664","37.70102310180664"
"76","36.019874572753906","36.019874572753906","36.019874572753906"
"77","40.83104705810547","40.83104705810547","40.83104705810547"
"78","44.022247314453125","44.022247314453125","44.022247314453125"
"79","38.65549850463867","38.65549850463867","38.65549850463867"
"80","26.037311553955078","26.037311553955078","26.037311553955078"
"81","37.992374420166016","37.992374420166016","37.992374420166016"
"82","38.64044189453125","38.64044189453125","38.64044189453125"
"84","37.76947784423828","37.76947784423828","37.76947784423828"
"85","38.08693313598633","38.08693313598633","38.08693313598633"
"86","28.431053161621094","28.431053161621094","28.431053161621094"
"87","38.3698844909668","38.3698844909668","38.3698844909668"
"88","32.403228759765625","32.403228759765625","32.403228759765625"
"89","37.65353012084961","37.65353012084961","37.65353012084961"
"90","37.14118957519531","37.14118957519531","37.14118957519531"
"91","35.95859146118164","35.95859146118164","35.95859146118164"
"92","36.87782669067383","36.87782669067383","36.87782669067383"
"93","35.879661560058594","35.879661560058594","35.879661560058594"
"94","33.45433807373047","33.45433807373047","33.45433807373047"
"95","39.346797943115234","39.346797943115234","39.346797943115234"
"96","35.340946197509766","35.340946197509766","35.340946197509766"
"97","39.060394287109375","39.060394287109375","39.060394287109375"
"98","39.800594329833984","39.800594329833984","39.800594329833984"
"99","34.749290466308594","34.749290466308594","34.749290466308594"
"101","37.155906677246094","37.155906677246094","37.155906677246094"
"102","38.186073303222656","38.186073303222656","38.186073303222656"
"103","37.91818618774414","37.91818618774414","37.91818618774414"
"104","39.817562103271484","39.817562103271484","39.817562103271484"
"105","39.58789825439453","39.58789825439453","39.58789825439453"
"106","34.63135528564453","34.63135528564453","34.63135528564453"
"107","35.725772857666016","35.725772857666016","35.725772857666016"
"108","36.82149124145508","36.82149124145508","36.82149124145508"
"109","28.11791229248047","28.11791229248047","28.11791229248047"
"110","31.390485763549805","31.390485763549805","31.390485763549805"
"111","36.983062744140625","36.983062744140625","36.983062744140625"
"112","47.29585266113281","47.29585266113281","47.29585266113281"
"113","29.792890548706055","29.792890548706055","29.792890548706055"
"114","38.781402587890625","38.781402587890625","38.781402587890625"
"115","26.165407180786133","26.165407180786133","26.165407180786133"
"116","34.802425384521484","34.802425384521484","34.802425384521484"
"118","34.723331451416016","34.723331451416016","34.723331451416016"
"119","38.86437225341797","38.86437225341797","38.86437225341797"
"120","32.93842315673828","32.93842315673828","32.93842315673828"
"121","37.29441452026367","37.29441452026367","37.29441452026367"
"122","45.684391021728516","45.684391021728516","45.684391021728516"
"123","37.633968353271484","37.633968353271484","37.633968353271484"
"124","37.20553970336914","37.20553970336914","37.20553970336914"
"125","30.01444435119629","30.01444435119629","30.01444435119629"
"126","34.65824508666992","34.65824508666992","34.65824508666992"
"127","24.65892791748047","24.65892791748047","24.65892791748047"
"128","29.027952194213867","29.027952194213867","29.027952194213867"
"129","31.53697967529297","31.53697967529297","31.53697967529297"
"130","37.345916748046875","37.345916748046875","37.345916748046875"
"131","34.09782409667969","34.09782409667969","34.09782409667969"
"132","33.834381103515625","33.834381103515625","33.834381103515625"
"133","42.58933639526367","42.58933639526367","42.58933639526367"
"134","40.78129196166992","40.78129196166992","40.78129196166992"
"135","36.29627990722656","36.29627990722656","36.29627990722656"
"136","37.41085433959961","37.41085433959961","37.41085433959961"
"137","36.97607421875","36.97607421875","36.97607421875"
"138","31.047718048095703","31.047718048095703","31.047718048095703"
"139","34.169193267822266","34.169193267822266","34.169193267822266"
"140","44.55162811279297","44.55162811279297","44.55162811279297"
"141","45.997344970703125","45.997344970703125","45.997344970703125"
"142","39.92934036254883","39.92934036254883","39.92934036254883"
"143","39.60212707519531","39.60212707519531","39.60212707519531"
"144","38.190101623535156","38.190101623535156","38.190101623535156"
"145","29.363113403320312","29.363113403320312","29.363113403320312"
"146","36.868309020996094","36.868309020996094","36.868309020996094"
"147","42.845149993896484","42.845149993896484","42.845149993896484"
"148","28.021543502807617","28.021543502807617","28.021543502807617"
"149","39.355159759521484","39.355159759521484","39.355159759521484"
"151","37.05207824707031","37.05207824707031","37.05207824707031"
"152","31.692174911499023","31.692174911499023","31.692174911499023"
"153","37.475547790527344","37.475547790527344","37.475547790527344"
"154","36.627471923828125","36.627471923828125","36.627471923828125"
"155","42.41471481323242","42.41471481323242","42.41471481323242"
"156","27.97926139831543","27.97926139831543","27.97926139831543"
"157","40.704776763916016","40.704776763916016","40.704776763916016"
"158","37.76205825805664","37.76205825805664","37.76205825805664"
"159","37.28277587890625","37.28277587890625","37.28277587890625"
"160","34.26978302001953","34.26978302001953","34.26978302001953"
"161","28.634323120117188","28.634323120117188","28.634323120117188"
"162","31.681377410888672","31.681377410888672","31.681377410888672"
"163","36.7086067199707","36.7086067199707","36.7086067199707"
"164","33.51058578491211","33.51058578491211","33.51058578491211"
"165","32.810062408447266","32.810062408447266","32.810062408447266"
"166","33.27797317504883","33.27797317504883","33.27797317504883"
"167","47.750606536865234","47.750606536865234","47.750606536865234"
"168","37.17111587524414","37.17111587524414","37.17111587524414"
"169","34.46269989013672","34.46269989013672","34.46269989013672"
"170","34.35964584350586","34.35964584350586","34.35964584350586"
"171","38.65349197387695","38.65349197387695","38.65349197387695"
"172","26.57474708557129","26.57474708557129","26.57474708557129"
"173","36.56917953491211","36.56917953491211","36.56917953491211"
"174","33.499874114990234","33.499874114990234","33.499874114990234"
