"Step","gallant-spaceship-199 - test/psnr_scat","gallant-spaceship-199 - test/psnr_scat__MIN","gallant-spaceship-199 - test/psnr_scat__MAX"
"0","35.86882019042969","35.86882019042969","35.86882019042969"
"1","42.38088607788086","42.38088607788086","42.38088607788086"
"2","48.110191345214844","48.110191345214844","48.110191345214844"
"3","38.15323257446289","38.15323257446289","38.15323257446289"
"4","41.258548736572266","41.258548736572266","41.258548736572266"
"5","42.96284103393555","42.96284103393555","42.96284103393555"
"6","35.97306442260742","35.97306442260742","35.97306442260742"
"7","31.292808532714844","31.292808532714844","31.292808532714844"
"8","41.057132720947266","41.057132720947266","41.057132720947266"
"9","41.42243194580078","41.42243194580078","41.42243194580078"
"10","36.40360641479492","36.40360641479492","36.40360641479492"
"11","44.223907470703125","44.223907470703125","44.223907470703125"
"12","38.69134521484375","38.69134521484375","38.69134521484375"
"13","39.369720458984375","39.369720458984375","39.369720458984375"
"14","35.338417053222656","35.338417053222656","35.338417053222656"
"15","32.0487060546875","32.0487060546875","32.0487060546875"
"17","38.95029830932617","38.95029830932617","38.95029830932617"
"18","38.48051452636719","38.48051452636719","38.48051452636719"
"19","38.99333953857422","38.99333953857422","38.99333953857422"
"20","37.809261322021484","37.809261322021484","37.809261322021484"
"21","34.670230865478516","34.670230865478516","34.670230865478516"
"22","33.63922119140625","33.63922119140625","33.63922119140625"
"23","45.82228469848633","45.82228469848633","45.82228469848633"
"24","39.16885757446289","39.16885757446289","39.16885757446289"
"25","38.392459869384766","38.392459869384766","38.392459869384766"
"26","35.48228454589844","35.48228454589844","35.48228454589844"
"27","44.83372116088867","44.83372116088867","44.83372116088867"
"28","30.372554779052734","30.372554779052734","30.372554779052734"
"29","33.326805114746094","33.326805114746094","33.326805114746094"
"30","31.159528732299805","31.159528732299805","31.159528732299805"
"31","34.21723175048828","34.21723175048828","34.21723175048828"
"32","32.670963287353516","32.670963287353516","32.670963287353516"
"33","39.64024353027344","39.64024353027344","39.64024353027344"
"34","39.95954895019531","39.95954895019531","39.95954895019531"
"35","29.83541488647461","29.83541488647461","29.83541488647461"
"36","39.514122009277344","39.514122009277344","39.514122009277344"
"37","44.180755615234375","44.180755615234375","44.180755615234375"
"38","43.46926498413086","43.46926498413086","43.46926498413086"
"39","37.914283752441406","37.914283752441406","37.914283752441406"
"40","41.72307586669922","41.72307586669922","41.72307586669922"
"41","39.82624816894531","39.82624816894531","39.82624816894531"
"42","35.17644119262695","35.17644119262695","35.17644119262695"
"43","39.25246047973633","39.25246047973633","39.25246047973633"
"44","35.764610290527344","35.764610290527344","35.764610290527344"
"45","46.84452438354492","46.84452438354492","46.84452438354492"
"46","48.10613250732422","48.10613250732422","48.10613250732422"
"47","38.22832107543945","38.22832107543945","38.22832107543945"
"48","47.823429107666016","47.823429107666016","47.823429107666016"
"50","41.14661407470703","41.14661407470703","41.14661407470703"
"51","37.70941925048828","37.70941925048828","37.70941925048828"
"52","39.628700256347656","39.628700256347656","39.628700256347656"
"53","43.404903411865234","43.404903411865234","43.404903411865234"
"54","39.093162536621094","39.093162536621094","39.093162536621094"
"55","39.32698440551758","39.32698440551758","39.32698440551758"
"56","47.35139846801758","47.35139846801758","47.35139846801758"
"57","39.59503936767578","39.59503936767578","39.59503936767578"
"58","38.397117614746094","38.397117614746094","38.397117614746094"
"59","34.623085021972656","34.623085021972656","34.623085021972656"
"60","38.19436264038086","38.19436264038086","38.19436264038086"
"61","31.476577758789062","31.476577758789062","31.476577758789062"
"62","34.46967697143555","34.46967697143555","34.46967697143555"
"63","48.02253341674805","48.02253341674805","48.02253341674805"
"64","45.264705657958984","45.264705657958984","45.264705657958984"
"65","36.232032775878906","36.232032775878906","36.232032775878906"
"66","42.273738861083984","42.273738861083984","42.273738861083984"
"67","39.48420715332031","39.48420715332031","39.48420715332031"
"68","40.65487289428711","40.65487289428711","40.65487289428711"
"69","37.680110931396484","37.680110931396484","37.680110931396484"
"70","40.03474426269531","40.03474426269531","40.03474426269531"
"71","41.62092590332031","41.62092590332031","41.62092590332031"
"72","37.610740661621094","37.610740661621094","37.610740661621094"
"73","47.8448371887207","47.8448371887207","47.8448371887207"
"74","36.89723587036133","36.89723587036133","36.89723587036133"
"75","39.8751106262207","39.8751106262207","39.8751106262207"
"76","43.38246536254883","43.38246536254883","43.38246536254883"
"77","45.78573989868164","45.78573989868164","45.78573989868164"
"78","39.2664909362793","39.2664909362793","39.2664909362793"
"79","27.153484344482422","27.153484344482422","27.153484344482422"
"80","41.624088287353516","41.624088287353516","41.624088287353516"
"81","39.45155715942383","39.45155715942383","39.45155715942383"
"83","37.57561111450195","37.57561111450195","37.57561111450195"
"84","39.29301452636719","39.29301452636719","39.29301452636719"
"85","31.222124099731445","31.222124099731445","31.222124099731445"
"86","38.01633834838867","38.01633834838867","38.01633834838867"
"87","34.659706115722656","34.659706115722656","34.659706115722656"
"88","39.42988586425781","39.42988586425781","39.42988586425781"
"89","39.09623718261719","39.09623718261719","39.09623718261719"
"90","38.93317413330078","38.93317413330078","38.93317413330078"
"91","39.44223403930664","39.44223403930664","39.44223403930664"
"92","37.14284133911133","37.14284133911133","37.14284133911133"
"93","36.269081115722656","36.269081115722656","36.269081115722656"
"94","44.56679916381836","44.56679916381836","44.56679916381836"
"95","39.03396987915039","39.03396987915039","39.03396987915039"
"96","41.56067657470703","41.56067657470703","41.56067657470703"
"97","41.50780487060547","41.50780487060547","41.50780487060547"
"98","39.407691955566406","39.407691955566406","39.407691955566406"
"99","37.99490737915039","37.99490737915039","37.99490737915039"
"100","38.62722396850586","38.62722396850586","38.62722396850586"
"101","38.7127685546875","38.7127685546875","38.7127685546875"
"102","41.02647018432617","41.02647018432617","41.02647018432617"
"103","44.1451530456543","44.1451530456543","44.1451530456543"
"104","41.257972717285156","41.257972717285156","41.257972717285156"
"105","36.3220100402832","36.3220100402832","36.3220100402832"
"106","41.400150299072266","41.400150299072266","41.400150299072266"
"107","29.30884552001953","29.30884552001953","29.30884552001953"
"108","35.1676139831543","35.1676139831543","35.1676139831543"
"109","40.08342742919922","40.08342742919922","40.08342742919922"
"110","48.027626037597656","48.027626037597656","48.027626037597656"
"111","32.296714782714844","32.296714782714844","32.296714782714844"
"112","41.84525680541992","41.84525680541992","41.84525680541992"
"113","27.89982032775879","27.89982032775879","27.89982032775879"
"114","36.972103118896484","36.972103118896484","36.972103118896484"
"116","45.04138946533203","45.04138946533203","45.04138946533203"
"117","39.278465270996094","39.278465270996094","39.278465270996094"
"118","34.80537033081055","34.80537033081055","34.80537033081055"
"119","40.34823226928711","40.34823226928711","40.34823226928711"
"120","46.92256546020508","46.92256546020508","46.92256546020508"
"121","39.071041107177734","39.071041107177734","39.071041107177734"
"122","38.22612762451172","38.22612762451172","38.22612762451172"
"123","34.60184860229492","34.60184860229492","34.60184860229492"
"124","37.65000915527344","37.65000915527344","37.65000915527344"
"125","27.472875595092773","27.472875595092773","27.472875595092773"
"126","34.036258697509766","34.036258697509766","34.036258697509766"
"127","35.33869171142578","35.33869171142578","35.33869171142578"
"128","40.04489517211914","40.04489517211914","40.04489517211914"
"129","35.91899108886719","35.91899108886719","35.91899108886719"
"130","39.08745574951172","39.08745574951172","39.08745574951172"
"131","44.09364318847656","44.09364318847656","44.09364318847656"
"132","44.220855712890625","44.220855712890625","44.220855712890625"
"133","39.04826736450195","39.04826736450195","39.04826736450195"
"134","43.92455291748047","43.92455291748047","43.92455291748047"
"135","37.726985931396484","37.726985931396484","37.726985931396484"
"136","32.846954345703125","32.846954345703125","32.846954345703125"
"137","40.85106658935547","40.85106658935547","40.85106658935547"
"138","46.37500762939453","46.37500762939453","46.37500762939453"
"139","47.79194259643555","47.79194259643555","47.79194259643555"
"140","40.57666778564453","40.57666778564453","40.57666778564453"
"141","40.47908020019531","40.47908020019531","40.47908020019531"
"142","41.597015380859375","41.597015380859375","41.597015380859375"
"143","34.45741653442383","34.45741653442383","34.45741653442383"
"144","39.56498336791992","39.56498336791992","39.56498336791992"
"145","45.04166030883789","45.04166030883789","45.04166030883789"
"146","30.01902961730957","30.01902961730957","30.01902961730957"
"147","41.351036071777344","41.351036071777344","41.351036071777344"
"149","39.16532516479492","39.16532516479492","39.16532516479492"
"150","35.86826705932617","35.86826705932617","35.86826705932617"
"151","39.0894889831543","39.0894889831543","39.0894889831543"
"152","39.618350982666016","39.618350982666016","39.618350982666016"
"153","44.75442123413086","44.75442123413086","44.75442123413086"
"154","28.59625244140625","28.59625244140625","28.59625244140625"
"155","42.06698989868164","42.06698989868164","42.06698989868164"
"156","41.30809020996094","41.30809020996094","41.30809020996094"
"157","39.934730529785156","39.934730529785156","39.934730529785156"
"158","39.8648567199707","39.8648567199707","39.8648567199707"
"159","30.893863677978516","30.893863677978516","30.893863677978516"
