"Step","leafy-darkness-87 - val/rmse_scat","leafy-darkness-87 - val/rmse_scat__MIN","leafy-darkness-87 - val/rmse_scat__MAX"
"95","0.06923641264438629","0.06923641264438629","0.06923641264438629"
"97","0.0775223970413208","0.0775223970413208","0.0775223970413208"
"99","0.07920433580875397","0.07920433580875397","0.07920433580875397"
"101","0.0716269314289093","0.0716269314289093","0.0716269314289093"
"578","0.038972318172454834","0.038972318172454834","0.038972318172454834"
"580","0.04140625149011612","0.04140625149011612","0.04140625149011612"
"582","0.04897277057170868","0.04897277057170868","0.04897277057170868"
"584","0.04087812080979347","0.04087812080979347","0.04087812080979347"
"1061","0.030371055006980896","0.030371055006980896","0.030371055006980896"
"1063","0.036688707768917084","0.036688707768917084","0.036688707768917084"
"1065","0.0432472825050354","0.0432472825050354","0.0432472825050354"
"1067","0.03479110822081566","0.03479110822081566","0.03479110822081566"
"1544","0.022896597161889076","0.022896597161889076","0.022896597161889076"
"1546","0.025898002088069916","0.025898002088069916","0.025898002088069916"
"1548","0.032541487365961075","0.032541487365961075","0.032541487365961075"
"1550","0.027322296053171158","0.027322296053171158","0.027322296053171158"
"2027","0.020908869802951813","0.020908869802951813","0.020908869802951813"
"2029","0.023692097514867783","0.023692097514867783","0.023692097514867783"
"2031","0.028719471767544746","0.028719471767544746","0.028719471767544746"
"2033","0.022354278713464737","0.022354278713464737","0.022354278713464737"
"2510","0.021304097026586533","0.021304097026586533","0.021304097026586533"
"2512","0.021618053317070007","0.021618053317070007","0.021618053317070007"
"2514","0.02613912709057331","0.02613912709057331","0.02613912709057331"
"2516","0.02236427180469036","0.02236427180469036","0.02236427180469036"
"2993","0.01886921375989914","0.01886921375989914","0.01886921375989914"
"2995","0.020962798967957497","0.020962798967957497","0.020962798967957497"
"2997","0.025490714237093925","0.025490714237093925","0.025490714237093925"
"2999","0.019568802788853645","0.019568802788853645","0.019568802788853645"
"3476","0.023044191300868988","0.023044191300868988","0.023044191300868988"
"3478","0.024178236722946167","0.024178236722946167","0.024178236722946167"
"3480","0.028532633557915688","0.028532633557915688","0.028532633557915688"
"3482","0.022479459643363953","0.022479459643363953","0.022479459643363953"
"3959","0.017917592078447342","0.017917592078447342","0.017917592078447342"
"3961","0.018915832042694092","0.018915832042694092","0.018915832042694092"
"3963","0.02236028015613556","0.02236028015613556","0.02236028015613556"
"3965","0.016644030809402466","0.016644030809402466","0.016644030809402466"
"4442","0.016581041738390923","0.016581041738390923","0.016581041738390923"
"4444","0.01622938923537731","0.01622938923537731","0.01622938923537731"
"4446","0.01982632465660572","0.01982632465660572","0.01982632465660572"
"4448","0.017525402829051018","0.017525402829051018","0.017525402829051018"
"4925","0.01583290658891201","0.01583290658891201","0.01583290658891201"
"4927","0.017649082466959953","0.017649082466959953","0.017649082466959953"
"4929","0.02121085673570633","0.02121085673570633","0.02121085673570633"
"4931","0.015207448042929173","0.015207448042929173","0.015207448042929173"
