"Step","vocal-sun-198 - test/rmse_scat","vocal-sun-198 - test/rmse_scat__MIN","vocal-sun-198 - test/rmse_scat__MAX"
"0","0.01905612088739872","0.01905612088739872","0.01905612088739872"
"1","0.008399629034101963","0.008399629034101963","0.008399629034101963"
"2","0.004295661114156246","0.004295661114156246","0.004295661114156246"
"3","0.010022999718785286","0.010022999718785286","0.010022999718785286"
"4","0.01430643629282713","0.01430643629282713","0.01430643629282713"
"5","0.01318791788071394","0.01318791788071394","0.01318791788071394"
"6","0.019611386582255363","0.019611386582255363","0.019611386582255363"
"7","0.03476181998848915","0.03476181998848915","0.03476181998848915"
"8","0.015085967257618904","0.015085967257618904","0.015085967257618904"
"9","0.013408642262220383","0.013408642262220383","0.013408642262220383"
"10","0.021282266825437546","0.021282266825437546","0.021282266825437546"
"11","0.009521165862679482","0.009521165862679482","0.009521165862679482"
"12","0.008716828189790249","0.008716828189790249","0.008716828189790249"
"13","0.01324497815221548","0.01324497815221548","0.01324497815221548"
"14","0.02281331643462181","0.02281331643462181","0.02281331643462181"
"15","0.05227084457874298","0.05227084457874298","0.05227084457874298"
"17","0.010580722242593765","0.010580722242593765","0.010580722242593765"
"18","0.010765785351395607","0.010765785351395607","0.010765785351395607"
"19","0.02482486516237259","0.02482486516237259","0.02482486516237259"
"20","0.01756112277507782","0.01756112277507782","0.01756112277507782"
"21","0.02186424471437931","0.02186424471437931","0.02186424471437931"
"22","0.02904411219060421","0.02904411219060421","0.02904411219060421"
"23","0.00878145545721054","0.00878145545721054","0.00878145545721054"
"24","0.008111415430903435","0.008111415430903435","0.008111415430903435"
"25","0.01406011637300253","0.01406011637300253","0.01406011637300253"
"26","0.021042516455054283","0.021042516455054283","0.021042516455054283"
"27","0.008703699335455894","0.008703699335455894","0.008703699335455894"
"28","0.032724153250455856","0.032724153250455856","0.032724153250455856"
"29","0.025703690946102142","0.025703690946102142","0.025703690946102142"
"30","0.03206587955355644","0.03206587955355644","0.03206587955355644"
"31","0.023579690605401993","0.023579690605401993","0.023579690605401993"
"32","0.02404356375336647","0.02404356375336647","0.02404356375336647"
"33","0.011043379083275795","0.011043379083275795","0.011043379083275795"
"34","0.008666771464049816","0.008666771464049816","0.008666771464049816"
"35","0.04002285376191139","0.04002285376191139","0.04002285376191139"
"36","0.00843978300690651","0.00843978300690651","0.00843978300690651"
"37","0.010958011262118816","0.010958011262118816","0.010958011262118816"
"38","0.008603942580521107","0.008603942580521107","0.008603942580521107"
"39","0.012107232585549355","0.012107232585549355","0.012107232585549355"
"40","0.012440742924809456","0.012440742924809456","0.012440742924809456"
"41","0.01580256223678589","0.01580256223678589","0.01580256223678589"
"42","0.020412622019648552","0.020412622019648552","0.020412622019648552"
"43","0.009948802180588245","0.009948802180588245","0.009948802180588245"
"44","0.023080864921212196","0.023080864921212196","0.023080864921212196"
"45","0.005947894416749477","0.005947894416749477","0.005947894416749477"
"46","0.004231857135891914","0.004231857135891914","0.004231857135891914"
"47","0.021928275004029274","0.021928275004029274","0.021928275004029274"
"48","0.0042954240925610065","0.0042954240925610065","0.0042954240925610065"
"50","0.009660202078521252","0.009660202078521252","0.009660202078521252"
"51","0.022082706913352013","0.022082706913352013","0.022082706913352013"
"52","0.010557659901678562","0.010557659901678562","0.010557659901678562"
"53","0.009513801895081997","0.009513801895081997","0.009513801895081997"
"54","0.011141160503029823","0.011141160503029823","0.011141160503029823"
"55","0.015999365597963333","0.015999365597963333","0.015999365597963333"
"56","0.005705572664737701","0.005705572664737701","0.005705572664737701"
"57","0.014903965406119823","0.014903965406119823","0.014903965406119823"
"58","0.010593270882964134","0.010593270882964134","0.010593270882964134"
"59","0.02442273497581482","0.02442273497581482","0.02442273497581482"
"60","0.012064083479344845","0.012064083479344845","0.012064083479344845"
"61","0.03327987343072891","0.03327987343072891","0.03327987343072891"
"62","0.023994091898202896","0.023994091898202896","0.023994091898202896"
"63","0.0041885096579790115","0.0041885096579790115","0.0041885096579790115"
"64","0.00656112190335989","0.00656112190335989","0.00656112190335989"
"65","0.01949501596391201","0.01949501596391201","0.01949501596391201"
"66","0.008529347367584705","0.008529347367584705","0.008529347367584705"
"67","0.016733907163143158","0.016733907163143158","0.016733907163143158"
"68","0.010348745621740818","0.010348745621740818","0.010348745621740818"
"69","0.010531686246395111","0.010531686246395111","0.010531686246395111"
"70","0.012594036757946014","0.012594036757946014","0.012594036757946014"
"71","0.014121915213763714","0.014121915213763714","0.014121915213763714"
"72","0.021545344963669777","0.021545344963669777","0.021545344963669777"
"73","0.004428304266184568","0.004428304266184568","0.004428304266184568"
"74","0.009521916508674622","0.009521916508674622","0.009521916508674622"
"75","0.015626050531864166","0.015626050531864166","0.015626050531864166"
"76","0.009596834890544415","0.009596834890544415","0.009596834890544415"
"77","0.007135241758078337","0.007135241758078337","0.007135241758078337"
"78","0.009671359322965145","0.009671359322965145","0.009671359322965145"
"79","0.05209871381521225","0.05209871381521225","0.05209871381521225"
"80","0.01288464292883873","0.01288464292883873","0.01288464292883873"
"81","0.010318218730390072","0.010318218730390072","0.010318218730390072"
"83","0.008966653607785702","0.008966653607785702","0.008966653607785702"
"84","0.009603125974535942","0.009603125974535942","0.009603125974535942"
"85","0.04006709158420563","0.04006709158420563","0.04006709158420563"
"86","0.01042934600263834","0.01042934600263834","0.01042934600263834"
"87","0.018507400527596474","0.018507400527596474","0.018507400527596474"
"88","0.00920919794589281","0.00920919794589281","0.00920919794589281"
"89","0.009312200360000134","0.009312200360000134","0.009312200360000134"
"90","0.016122078523039818","0.016122078523039818","0.016122078523039818"
"91","0.016251469030976295","0.016251469030976295","0.016251469030976295"
"92","0.011796976439654827","0.011796976439654827","0.011796976439654827"
"93","0.019030943512916565","0.019030943512916565","0.019030943512916565"
"94","0.009227233938872814","0.009227233938872814","0.009227233938872814"
"95","0.01813795417547226","0.01813795417547226","0.01813795417547226"
"96","0.009961588308215141","0.009961588308215141","0.009961588308215141"
"97","0.007019619923084974","0.007019619923084974","0.007019619923084974"
"98","0.014361783862113953","0.014361783862113953","0.014361783862113953"
"99","0.009968283586204052","0.009968283586204052","0.009968283586204052"
"100","0.010159794241189957","0.010159794241189957","0.010159794241189957"
"101","0.010938278399407864","0.010938278399407864","0.010938278399407864"
"102","0.009324380196630955","0.009324380196630955","0.009324380196630955"
"103","0.010420551523566246","0.010420551523566246","0.010420551523566246"
"104","0.018556151539087296","0.018556151539087296","0.018556151539087296"
"105","0.01583254337310791","0.01583254337310791","0.01583254337310791"
"106","0.014554320834577084","0.014554320834577084","0.014554320834577084"
"107","0.03907044231891632","0.03907044231891632","0.03907044231891632"
"108","0.027737947180867195","0.027737947180867195","0.027737947180867195"
"109","0.01813511736690998","0.01813511736690998","0.01813511736690998"
"110","0.004507124889642","0.004507124889642","0.004507124889642"
"111","0.030965443700551987","0.030965443700551987","0.030965443700551987"
"112","0.011657928116619587","0.011657928116619587","0.011657928116619587"
"113","0.04545314610004425","0.04545314610004425","0.04545314610004425"
"114","0.017011504620313644","0.017011504620313644","0.017011504620313644"
"116","0.016169115900993347","0.016169115900993347","0.016169115900993347"
"117","0.010369628667831421","0.010369628667831421","0.010369628667831421"
"118","0.021035410463809967","0.021035410463809967","0.021035410463809967"
"119","0.014746451750397682","0.014746451750397682","0.014746451750397682"
"120","0.005525364074856043","0.005525364074856043","0.005525364074856043"
"121","0.00984359160065651","0.00984359160065651","0.00984359160065651"
"122","0.011807243339717388","0.011807243339717388","0.011807243339717388"
"123","0.029581701382994652","0.029581701382994652","0.029581701382994652"
"124","0.016244636848568916","0.016244636848568916","0.016244636848568916"
"125","0.050482723861932755","0.050482723861932755","0.050482723861932755"
"126","0.027270138263702393","0.027270138263702393","0.027270138263702393"
"127","0.023302780464291573","0.023302780464291573","0.023302780464291573"
"128","0.008252711966633797","0.008252711966633797","0.008252711966633797"
"129","0.016910143196582794","0.016910143196582794","0.016910143196582794"
"130","0.022156601771712303","0.022156601771712303","0.022156601771712303"
"131","0.008456896059215069","0.008456896059215069","0.008456896059215069"
"132","0.009595214389264584","0.009595214389264584","0.009595214389264584"
"133","0.017739854753017426","0.017739854753017426","0.017739854753017426"
"134","0.013575800694525242","0.013575800694525242","0.013575800694525242"
"135","0.011254459619522095","0.011254459619522095","0.011254459619522095"
"136","0.02711709775030613","0.02711709775030613","0.02711709775030613"
"137","0.019543597474694252","0.019543597474694252","0.019543597474694252"
"138","0.006022837478667498","0.006022837478667498","0.006022837478667498"
"139","0.005067026242613792","0.005067026242613792","0.005067026242613792"
"140","0.008286731317639351","0.008286731317639351","0.008286731317639351"
"141","0.011411295272409916","0.011411295272409916","0.011411295272409916"
"142","0.010753961279988289","0.010753961279988289","0.010753961279988289"
"143","0.03433016687631607","0.03433016687631607","0.03433016687631607"
"144","0.015885181725025177","0.015885181725025177","0.015885181725025177"
"145","0.00825035385787487","0.00825035385787487","0.00825035385787487"
"146","0.042917635291814804","0.042917635291814804","0.042917635291814804"
"147","0.010068158619105816","0.010068158619105816","0.010068158619105816"
"149","0.013826994225382805","0.013826994225382805","0.013826994225382805"
"150","0.023327669128775597","0.023327669128775597","0.023327669128775597"
"151","0.0118803596124053","0.0118803596124053","0.0118803596124053"
"152","0.011714483611285686","0.011714483611285686","0.011714483611285686"
"153","0.008016812615096569","0.008016812615096569","0.008016812615096569"
"154","0.042202066630125046","0.042202066630125046","0.042202066630125046"
"155","0.00968712568283081","0.00968712568283081","0.00968712568283081"
"156","0.014753470197319984","0.014753470197319984","0.014753470197319984"
"157","0.014984426088631153","0.014984426088631153","0.014984426088631153"
"158","0.012815762311220169","0.012815762311220169","0.012815762311220169"
"159","0.035554785281419754","0.035554785281419754","0.035554785281419754"
"160","0.024623943492770195","0.024623943492770195","0.024623943492770195"
"161","0.011922004632651806","0.011922004632651806","0.011922004632651806"
"162","0.020876221358776093","0.020876221358776093","0.020876221358776093"
"163","0.022272037342190742","0.022272037342190742","0.022272037342190742"
"164","0.02207009308040142","0.02207009308040142","0.02207009308040142"
"165","0.004194364883005619","0.004194364883005619","0.004194364883005619"
"166","0.013506988994777203","0.013506988994777203","0.013506988994777203"
"167","0.015096223913133144","0.015096223913133144","0.015096223913133144"
"168","0.019091658294200897","0.019091658294200897","0.019091658294200897"
"169","0.012399795465171337","0.012399795465171337","0.012399795465171337"
"170","0.04423349350690842","0.04423349350690842","0.04423349350690842"
"171","0.014241491444408894","0.014241491444408894","0.014241491444408894"
"172","0.021852785721421242","0.021852785721421242","0.021852785721421242"
"173","0.01078905537724495","0.01078905537724495","0.01078905537724495"
"174","0.011129875667393208","0.011129875667393208","0.011129875667393208"
"175","0.010083936154842377","0.010083936154842377","0.010083936154842377"
"176","0.012005790136754513","0.012005790136754513","0.012005790136754513"
"177","0.009083536453545094","0.009083536453545094","0.009083536453545094"
"178","0.010676073841750622","0.010676073841750622","0.010676073841750622"
"179","0.04037947207689285","0.04037947207689285","0.04037947207689285"
"180","0.005082538351416588","0.005082538351416588","0.005082538351416588"
"182","0.014040445908904076","0.014040445908904076","0.014040445908904076"
"183","0.016424674540758133","0.016424674540758133","0.016424674540758133"
"184","0.011678501032292843","0.011678501032292843","0.011678501032292843"
"185","0.041912514716386795","0.041912514716386795","0.041912514716386795"
"186","0.008839236572384834","0.008839236572384834","0.008839236572384834"
"187","0.021303337067365646","0.021303337067365646","0.021303337067365646"
"188","0.017108039930462837","0.017108039930462837","0.017108039930462837"
"189","0.008134719915688038","0.008134719915688038","0.008134719915688038"
"190","0.03292658179998398","0.03292658179998398","0.03292658179998398"
"191","0.013529481366276741","0.013529481366276741","0.013529481366276741"
"192","0.007156345061957836","0.007156345061957836","0.007156345061957836"
"193","0.009361057542264462","0.009361057542264462","0.009361057542264462"
"194","0.011868961155414581","0.011868961155414581","0.011868961155414581"
"195","0.025312377139925957","0.025312377139925957","0.025312377139925957"
"196","0.03497309610247612","0.03497309610247612","0.03497309610247612"
"197","0.011919280514121056","0.011919280514121056","0.011919280514121056"
"198","0.0253334678709507","0.0253334678709507","0.0253334678709507"
"199","0.017594028264284134","0.017594028264284134","0.017594028264284134"
"200","0.011880732141435146","0.011880732141435146","0.011880732141435146"
"201","0.008894347585737705","0.008894347585737705","0.008894347585737705"
"202","0.021221719682216644","0.021221719682216644","0.021221719682216644"
"203","0.009724525734782219","0.009724525734782219","0.009724525734782219"
"204","0.00764867290854454","0.00764867290854454","0.00764867290854454"
"205","0.01041108276695013","0.01041108276695013","0.01041108276695013"
"206","0.009622371755540371","0.009622371755540371","0.009622371755540371"
"207","0.008828678168356419","0.008828678168356419","0.008828678168356419"
"208","0.024758482351899147","0.024758482351899147","0.024758482351899147"
"209","0.010023710317909718","0.010023710317909718","0.010023710317909718"
"210","0.015717027708888054","0.015717027708888054","0.015717027708888054"
"211","0.018642261624336243","0.018642261624336243","0.018642261624336243"
"212","0.02415190450847149","0.02415190450847149","0.02415190450847149"
"213","0.014714399352669716","0.014714399352669716","0.014714399352669716"
"215","0.008921635337173939","0.008921635337173939","0.008921635337173939"
"216","0.009983129799365997","0.009983129799365997","0.009983129799365997"
"217","0.008570129051804543","0.008570129051804543","0.008570129051804543"
"218","0.012961730360984802","0.012961730360984802","0.012961730360984802"
"219","0.009803684428334236","0.009803684428334236","0.009803684428334236"
"220","0.0127334576100111","0.0127334576100111","0.0127334576100111"
