"Step","serene-sun-203 - test/psnr_scat","serene-sun-203 - test/psnr_scat__MIN","serene-sun-203 - test/psnr_scat__MAX"
"1","35.166839599609375","35.166839599609375","35.166839599609375"
"2","39.775821685791016","39.775821685791016","39.775821685791016"
"3","47.702308654785156","47.702308654785156","47.702308654785156"
"4","38.14268493652344","38.14268493652344","38.14268493652344"
"5","38.18990707397461","38.18990707397461","38.18990707397461"
"6","38.787872314453125","38.787872314453125","38.787872314453125"
"7","35.157379150390625","35.157379150390625","35.157379150390625"
"8","30.148372650146484","30.148372650146484","30.148372650146484"
"9","37.88414764404297","37.88414764404297","37.88414764404297"
"10","38.3891487121582","38.3891487121582","38.3891487121582"
"11","33.15928268432617","33.15928268432617","33.15928268432617"
"12","41.20762252807617","41.20762252807617","41.20762252807617"
"13","36.48527908325195","36.48527908325195","36.48527908325195"
"14","37.56719970703125","37.56719970703125","37.56719970703125"
"15","33.58318328857422","33.58318328857422","33.58318328857422"
"16","26.72031593322754","26.72031593322754","26.72031593322754"
"18","38.35647964477539","38.35647964477539","38.35647964477539"
"19","38.51581573486328","38.51581573486328","38.51581573486328"
"20","37.99402618408203","37.99402618408203","37.99402618408203"
"21","36.938819885253906","36.938819885253906","36.938819885253906"
"22","32.35598373413086","32.35598373413086","32.35598373413086"
"23","31.35508155822754","31.35508155822754","31.35508155822754"
"24","43.86862564086914","43.86862564086914","43.86862564086914"
"25","36.991424560546875","36.991424560546875","36.991424560546875"
"26","36.36103820800781","36.36103820800781","36.36103820800781"
"27","33.35690689086914","33.35690689086914","33.35690689086914"
"28","43.17653274536133","43.17653274536133","43.17653274536133"
"29","28.184146881103516","28.184146881103516","28.184146881103516"
"30","31.802837371826172","31.802837371826172","31.802837371826172"
"31","29.34200096130371","29.34200096130371","29.34200096130371"
"32","32.060813903808594","32.060813903808594","32.060813903808594"
"33","31.12293243408203","31.12293243408203","31.12293243408203"
"34","38.828514099121094","38.828514099121094","38.828514099121094"
"35","37.18376159667969","37.18376159667969","37.18376159667969"
"36","29.148944854736328","29.148944854736328","29.148944854736328"
"37","37.262088775634766","37.262088775634766","37.262088775634766"
"38","42.64835739135742","42.64835739135742","42.64835739135742"
"39","40.8072395324707","40.8072395324707","40.8072395324707"
"40","36.49046325683594","36.49046325683594","36.49046325683594"
"41","40.013633728027344","40.013633728027344","40.013633728027344"
"42","37.316917419433594","37.316917419433594","37.316917419433594"
"43","34.31427764892578","34.31427764892578","34.31427764892578"
"44","38.456478118896484","38.456478118896484","38.456478118896484"
"45","33.16461944580078","33.16461944580078","33.16461944580078"
"46","45.57001876831055","45.57001876831055","45.57001876831055"
"47","47.743709564208984","47.743709564208984","47.743709564208984"
"48","35.26741409301758","35.26741409301758","35.26741409301758"
"49","47.49284362792969","47.49284362792969","47.49284362792969"
"51","38.95939636230469","38.95939636230469","38.95939636230469"
"52","33.3217658996582","33.3217658996582","33.3217658996582"
"53","37.470428466796875","37.470428466796875","37.470428466796875"
"54","41.61333465576172","41.61333465576172","41.61333465576172"
"55","38.112510681152344","38.112510681152344","38.112510681152344"
"56","36.26142501831055","36.26142501831055","36.26142501831055"
"57","45.947776794433594","45.947776794433594","45.947776794433594"
"58","37.91274642944336","37.91274642944336","37.91274642944336"
"59","37.67880630493164","37.67880630493164","37.67880630493164"
