"Step","leafy-darkness-87 - val/ssim_scat","leafy-darkness-87 - val/ssim_scat__MIN","leafy-darkness-87 - val/ssim_scat__MAX"
"95","0.24949271976947784","0.24949271976947784","0.24949271976947784"
"97","0.2866761088371277","0.2866761088371277","0.2866761088371277"
"99","0.33986514806747437","0.33986514806747437","0.33986514806747437"
"101","0.2785932421684265","0.2785932421684265","0.2785932421684265"
"578","0.6388035416603088","0.6388035416603088","0.6388035416603088"
"580","0.6718798875808716","0.6718798875808716","0.6718798875808716"
"582","0.6642544269561768","0.6642544269561768","0.6642544269561768"
"584","0.6626812219619751","0.6626812219619751","0.6626812219619751"
"1061","0.7649253606796265","0.7649253606796265","0.7649253606796265"
"1063","0.78498375415802","0.78498375415802","0.78498375415802"
"1065","0.7804601192474365","0.7804601192474365","0.7804601192474365"
"1067","0.7854692935943604","0.7854692935943604","0.7854692935943604"
"1544","0.829465925693512","0.829465925693512","0.829465925693512"
"1546","0.8309841156005859","0.8309841156005859","0.8309841156005859"
"1548","0.8242291808128357","0.8242291808128357","0.8242291808128357"
"1550","0.8191778659820557","0.8191778659820557","0.8191778659820557"
"2027","0.8347160220146179","0.8347160220146179","0.8347160220146179"
"2029","0.8624057769775391","0.8624057769775391","0.8624057769775391"
"2031","0.8427344560623169","0.8427344560623169","0.8427344560623169"
"2033","0.8561768531799316","0.8561768531799316","0.8561768531799316"
"2510","0.8309439420700073","0.8309439420700073","0.8309439420700073"
"2512","0.8475620150566101","0.8475620150566101","0.8475620150566101"
"2514","0.8193409442901611","0.8193409442901611","0.8193409442901611"
"2516","0.8428654670715332","0.8428654670715332","0.8428654670715332"
"2993","0.8595560789108276","0.8595560789108276","0.8595560789108276"
"2995","0.878801703453064","0.878801703453064","0.878801703453064"
"2997","0.8584203720092773","0.8584203720092773","0.8584203720092773"
"2999","0.8736684322357178","0.8736684322357178","0.8736684322357178"
"3476","0.83819180727005","0.83819180727005","0.83819180727005"
"3478","0.8561761379241943","0.8561761379241943","0.8561761379241943"
"3480","0.8404276371002197","0.8404276371002197","0.8404276371002197"
"3482","0.8515866994857788","0.8515866994857788","0.8515866994857788"
"3959","0.912022590637207","0.912022590637207","0.912022590637207"
"3961","0.917478084564209","0.917478084564209","0.917478084564209"
"3963","0.9051302075386047","0.9051302075386047","0.9051302075386047"
"3965","0.9171934127807617","0.9171934127807617","0.9171934127807617"
"4442","0.855059027671814","0.855059027671814","0.855059027671814"
"4444","0.8722436428070068","0.8722436428070068","0.8722436428070068"
"4446","0.8640974164009094","0.8640974164009094","0.8640974164009094"
"4448","0.858532190322876","0.858532190322876","0.858532190322876"
"4925","0.8800930380821228","0.8800930380821228","0.8800930380821228"
"4927","0.8925952315330505","0.8925952315330505","0.8925952315330505"
"4929","0.8729779720306396","0.8729779720306396","0.8729779720306396"
"4931","0.8884757161140442","0.8884757161140442","0.8884757161140442"
"5408","0.915790319442749","0.915790319442749","0.915790319442749"
"5410","0.9142343997955322","0.9142343997955322","0.9142343997955322"
"5412","0.906788170337677","0.906788170337677","0.906788170337677"
"5414","0.9180248975753784","0.9180248975753784","0.9180248975753784"
"5891","0.9024844169616699","0.9024844169616699","0.9024844169616699"
"5893","0.913546085357666","0.913546085357666","0.913546085357666"
"5895","0.9010825753211975","0.9010825753211975","0.9010825753211975"
"5897","0.9082068800926208","0.9082068800926208","0.9082068800926208"
"6374","0.8632391691207886","0.8632391691207886","0.8632391691207886"
"6376","0.872051477432251","0.872051477432251","0.872051477432251"
"6378","0.8689184188842773","0.8689184188842773","0.8689184188842773"
"6380","0.862136721611023","0.862136721611023","0.862136721611023"
"6857","0.9162092208862305","0.9162092208862305","0.9162092208862305"
"6859","0.920824408531189","0.920824408531189","0.920824408531189"
"6861","0.9134529829025269","0.9134529829025269","0.9134529829025269"
"6863","0.9180755615234375","0.9180755615234375","0.9180755615234375"
"7340","0.9144195318222046","0.9144195318222046","0.9144195318222046"
"7342","0.9188488125801086","0.9188488125801086","0.9188488125801086"
"7344","0.9142582416534424","0.9142582416534424","0.9142582416534424"
"7346","0.9152159690856934","0.9152159690856934","0.9152159690856934"
"7823","0.9317330121994019","0.9317330121994019","0.9317330121994019"
"7825","0.9325206279754639","0.9325206279754639","0.9325206279754639"
"7827","0.9246795773506165","0.9246795773506165","0.9246795773506165"
"7829","0.9337517023086548","0.9337517023086548","0.9337517023086548"
"8306","0.9233854413032532","0.9233854413032532","0.9233854413032532"
"8308","0.9259947538375854","0.9259947538375854","0.9259947538375854"
"8310","0.920524001121521","0.920524001121521","0.920524001121521"
"8312","0.9218341112136841","0.9218341112136841","0.9218341112136841"
"8789","0.9306871294975281","0.9306871294975281","0.9306871294975281"
"8791","0.9275906682014465","0.9275906682014465","0.9275906682014465"
"8793","0.9180129766464233","0.9180129766464233","0.9180129766464233"
"8795","0.926511287689209","0.926511287689209","0.926511287689209"
"9272","0.9219726324081421","0.9219726324081421","0.9219726324081421"
"9274","0.92952561378479","0.92952561378479","0.92952561378479"
"9276","0.9148263931274414","0.9148263931274414","0.9148263931274414"
"9278","0.9175658226013184","0.9175658226013184","0.9175658226013184"
"9755","0.900644063949585","0.900644063949585","0.900644063949585"
"9757","0.9079328775405884","0.9079328775405884","0.9079328775405884"
"9759","0.9013088941574097","0.9013088941574097","0.9013088941574097"
"9761","0.9022507667541504","0.9022507667541504","0.9022507667541504"
"10238","0.933610737323761","0.933610737323761","0.933610737323761"
"10240","0.9338692426681519","0.9338692426681519","0.9338692426681519"
"10242","0.9321646690368652","0.9321646690368652","0.9321646690368652"
"10244","0.9346625804901123","0.9346625804901123","0.9346625804901123"
"10721","0.9267391562461853","0.9267391562461853","0.9267391562461853"
"10723","0.9324753284454346","0.9324753284454346","0.9324753284454346"
"10725","0.9211372137069702","0.9211372137069702","0.9211372137069702"
"10727","0.9330695867538452","0.9330695867538452","0.9330695867538452"
"11204","0.9263806343078613","0.9263806343078613","0.9263806343078613"
"11206","0.9330117702484131","0.9330117702484131","0.9330117702484131"
