"Step","leafy-darkness-87 - val/psnr_scat","leafy-darkness-87 - val/psnr_scat__MIN","leafy-darkness-87 - val/psnr_scat__MAX"
"95","23.193309783935547","23.193309783935547","23.193309783935547"
"97","22.211454391479492","22.211454391479492","22.211454391479492"
"99","22.0250186920166","22.0250186920166","22.0250186920166"
"101","22.89847183227539","22.89847183227539","22.89847183227539"
"578","28.184873580932617","28.184873580932617","28.184873580932617"
"580","27.658681869506836","27.658681869506836","27.658681869506836"
"582","26.20090675354004","26.20090675354004","26.20090675354004"
"584","27.770179748535156","27.770179748535156","27.770179748535156"
"1061","30.350801467895508","30.350801467895508","30.350801467895508"
"1063","28.709352493286133","28.709352493286133","28.709352493286133"
"1065","27.28082275390625","27.28082275390625","27.28082275390625"
"1067","29.17063331604004","29.17063331604004","29.17063331604004"
"1544","32.80458068847656","32.80458068847656","32.80458068847656"
"1546","31.73467445373535","31.73467445373535","31.73467445373535"
"1548","29.751251220703125","29.751251220703125","29.751251220703125"
"1550","31.269655227661133","31.269655227661133","31.269655227661133"
"2027","33.593387603759766","33.593387603759766","33.593387603759766"
"2029","32.507930755615234","32.507930755615234","32.507930755615234"
"2031","30.836469650268555","30.836469650268555","30.836469650268555"
"2033","33.012786865234375","33.012786865234375","33.012786865234375"
"2510","33.43073654174805","33.43073654174805","33.43073654174805"
"2512","33.30366897583008","33.30366897583008","33.30366897583008"
"2514","31.654176712036133","31.654176712036133","31.654176712036133"
"2516","33.00890350341797","33.00890350341797","33.00890350341797"
"2993","34.48492431640625","34.48492431640625","34.48492431640625"
"2995","33.571014404296875","33.571014404296875","33.571014404296875"
"2997","31.872358322143555","31.872358322143555","31.872358322143555"
"2999","34.1687126159668","34.1687126159668","34.1687126159668"
"3476","32.74877166748047","32.74877166748047","32.74877166748047"
"3478","32.331504821777344","32.331504821777344","32.331504821777344"
"3480","30.89316177368164","30.89316177368164","30.89316177368164"
"3482","32.96428298950195","32.96428298950195","32.96428298950195"
"3959","34.93440628051758","34.93440628051758","34.93440628051758"
"3961","34.4634895324707","34.4634895324707","34.4634895324707"
"3963","33.01045608520508","33.01045608520508","33.01045608520508"
"3965","35.5748291015625","35.5748291015625","35.5748291015625"
"4442","35.60776138305664","35.60776138305664","35.60776138305664"
"4444","35.7939567565918","35.7939567565918","35.7939567565918"
"4446","34.055152893066406","34.055152893066406","34.055152893066406"
"4448","35.12663650512695","35.12663650512695","35.12663650512695"
"4925","36.008785247802734","36.008785247802734","36.008785247802734"
"4927","35.06555938720703","35.06555938720703","35.06555938720703"
"4929","33.468833923339844","33.468833923339844","33.468833923339844"
"4931","36.35887145996094","36.35887145996094","36.35887145996094"
"5408","35.66872787475586","35.66872787475586","35.66872787475586"
"5410","34.41465377807617","34.41465377807617","34.41465377807617"
"5412","33.384765625","33.384765625","33.384765625"
"5414","35.807254791259766","35.807254791259766","35.807254791259766"
"5891","36.635746002197266","36.635746002197266","36.635746002197266"
"5893","35.998268127441406","35.998268127441406","35.998268127441406"
"5895","34.771240234375","34.771240234375","34.771240234375"
"5897","36.48463439941406","36.48463439941406","36.48463439941406"
"6374","36.9341926574707","36.9341926574707","36.9341926574707"
"6376","36.16998291015625","36.16998291015625","36.16998291015625"
"6378","34.83401870727539","34.83401870727539","34.83401870727539"
"6380","35.19597625732422","35.19597625732422","35.19597625732422"
"6857","37.14427947998047","37.14427947998047","37.14427947998047"
"6859","36.76456069946289","36.76456069946289","36.76456069946289"
"6861","34.640872955322266","34.640872955322266","34.640872955322266"
