"Step","gallant-spaceship-199 - test/ssim_scat","gallant-spaceship-199 - test/ssim_scat__MIN","gallant-spaceship-199 - test/ssim_scat__MAX"
"0","0.9035333395004272","0.9035333395004272","0.9035333395004272"
"1","0.9405940175056458","0.9405940175056458","0.9405940175056458"
"2","0.933363139629364","0.933363139629364","0.933363139629364"
"3","0.879650354385376","0.879650354385376","0.879650354385376"
"4","0.925379753112793","0.925379753112793","0.925379753112793"
"5","0.9247258901596069","0.9247258901596069","0.9247258901596069"
"6","0.9260978698730469","0.9260978698730469","0.9260978698730469"
"7","0.8850842714309692","0.8850842714309692","0.8850842714309692"
"8","0.9241000413894653","0.9241000413894653","0.9241000413894653"
"9","0.9273021221160889","0.9273021221160889","0.9273021221160889"
"10","0.9146376848220825","0.9146376848220825","0.9146376848220825"
"11","0.9296058416366577","0.9296058416366577","0.9296058416366577"
"12","0.9031379222869873","0.9031379222869873","0.9031379222869873"
"13","0.9176954030990601","0.9176954030990601","0.9176954030990601"
"14","0.9178440570831299","0.9178440570831299","0.9178440570831299"
"15","0.9115674495697021","0.9115674495697021","0.9115674495697021"
"17","0.9067926406860352","0.9067926406860352","0.9067926406860352"
"18","0.9061640501022339","0.9061640501022339","0.9061640501022339"
"19","0.9319044351577759","0.9319044351577759","0.9319044351577759"
"20","0.9233766198158264","0.9233766198158264","0.9233766198158264"
"21","0.8974705934524536","0.8974705934524536","0.8974705934524536"
"22","0.9115493297576904","0.9115493297576904","0.9115493297576904"
"23","0.933195948600769","0.933195948600769","0.933195948600769"
"24","0.9097574949264526","0.9097574949264526","0.9097574949264526"
"25","0.9375839233398438","0.9375839233398438","0.9375839233398438"
"26","0.9137277007102966","0.9137277007102966","0.9137277007102966"
"27","0.9274752140045166","0.9274752140045166","0.9274752140045166"
"28","0.9071564674377441","0.9071564674377441","0.9071564674377441"
"29","0.9186967611312866","0.9186967611312866","0.9186967611312866"
"30","0.896991491317749","0.896991491317749","0.896991491317749"
"31","0.9132058620452881","0.9132058620452881","0.9132058620452881"
"32","0.8971796035766602","0.8971796035766602","0.8971796035766602"
"33","0.9152942895889282","0.9152942895889282","0.9152942895889282"
"34","0.9210397005081177","0.9210397005081177","0.9210397005081177"
"35","0.908856213092804","0.908856213092804","0.908856213092804"
"36","0.9152822494506836","0.9152822494506836","0.9152822494506836"
"37","0.9290302991867065","0.9290302991867065","0.9290302991867065"
"38","0.9443459510803223","0.9443459510803223","0.9443459510803223"
"39","0.9042385816574097","0.9042385816574097","0.9042385816574097"
"40","0.9333781003952026","0.9333781003952026","0.9333781003952026"
"41","0.9239249229431152","0.9239249229431152","0.9239249229431152"
"42","0.9074606895446777","0.9074606895446777","0.9074606895446777"
"43","0.9117635488510132","0.9117635488510132","0.9117635488510132"
"44","0.9187939167022705","0.9187939167022705","0.9187939167022705"
"45","0.9314974546432495","0.9314974546432495","0.9314974546432495"
"46","0.933375895023346","0.933375895023346","0.933375895023346"
"47","0.9147299528121948","0.9147299528121948","0.9147299528121948"
"48","0.9314025640487671","0.9314025640487671","0.9314025640487671"
"50","0.9316689968109131","0.9316689968109131","0.9316689968109131"
"51","0.9238523244857788","0.9238523244857788","0.9238523244857788"
"52","0.91509610414505","0.91509610414505","0.91509610414505"
"53","0.9302628636360168","0.9302628636360168","0.9302628636360168"
"54","0.9075815677642822","0.9075815677642822","0.9075815677642822"
"55","0.9185957908630371","0.9185957908630371","0.9185957908630371"
"56","0.933512806892395","0.933512806892395","0.933512806892395"
"57","0.9236997365951538","0.9236997365951538","0.9236997365951538"
"58","0.8975288271903992","0.8975288271903992","0.8975288271903992"
"59","0.9094353914260864","0.9094353914260864","0.9094353914260864"
"60","0.912987232208252","0.912987232208252","0.912987232208252"
"61","0.9037256240844727","0.9037256240844727","0.9037256240844727"
"62","0.914884090423584","0.914884090423584","0.914884090423584"
"63","0.9322128295898438","0.9322128295898438","0.9322128295898438"
"64","0.9353640079498291","0.9353640079498291","0.9353640079498291"
"65","0.9195681810379028","0.9195681810379028","0.9195681810379028"
"66","0.9353784322738647","0.9353784322738647","0.9353784322738647"
"67","0.9271631836891174","0.9271631836891174","0.9271631836891174"
"68","0.923587441444397","0.923587441444397","0.923587441444397"
"69","0.8756893873214722","0.8756893873214722","0.8756893873214722"
"70","0.9157785773277283","0.9157785773277283","0.9157785773277283"
"71","0.9284425973892212","0.9284425973892212","0.9284425973892212"
"72","0.9203609228134155","0.9203609228134155","0.9203609228134155"
"73","0.9315450191497803","0.9315450191497803","0.9315450191497803"
"74","0.906059980392456","0.906059980392456","0.906059980392456"
"75","0.9161427021026611","0.9161427021026611","0.9161427021026611"
"76","0.9285833835601807","0.9285833835601807","0.9285833835601807"
"77","0.9382092952728271","0.9382092952728271","0.9382092952728271"
"78","0.9072693586349487","0.9072693586349487","0.9072693586349487"
"79","0.888009786605835","0.888009786605835","0.888009786605835"
"80","0.9316275119781494","0.9316275119781494","0.9316275119781494"
"81","0.9125744104385376","0.9125744104385376","0.9125744104385376"
"83","0.8797856569290161","0.8797856569290161","0.8797856569290161"
"84","0.9139060378074646","0.9139060378074646","0.9139060378074646"
"85","0.8963344097137451","0.8963344097137451","0.8963344097137451"
"86","0.8949460983276367","0.8949460983276367","0.8949460983276367"
"87","0.923371434211731","0.923371434211731","0.923371434211731"
"88","0.9072468280792236","0.9072468280792236","0.9072468280792236"
"89","0.9067654013633728","0.9067654013633728","0.9067654013633728"
"90","0.9192310571670532","0.9192310571670532","0.9192310571670532"
"91","0.9280883073806763","0.9280883073806763","0.9280883073806763"
"92","0.9028465151786804","0.9028465151786804","0.9028465151786804"
"93","0.9265643954277039","0.9265643954277039","0.9265643954277039"
"94","0.9275722503662109","0.9275722503662109","0.9275722503662109"
"95","0.9167158007621765","0.9167158007621765","0.9167158007621765"
"96","0.936152458190918","0.936152458190918","0.936152458190918"
"97","0.9290096163749695","0.9290096163749695","0.9290096163749695"
"98","0.9225780963897705","0.9225780963897705","0.9225780963897705"
"99","0.9001603126525879","0.9001603126525879","0.9001603126525879"
"100","0.8930673599243164","0.8930673599243164","0.8930673599243164"
"101","0.8989850282669067","0.8989850282669067","0.8989850282669067"
"102","0.9218936562538147","0.9218936562538147","0.9218936562538147"
"103","0.9281389117240906","0.9281389117240906","0.9281389117240906"
"104","0.9383728504180908","0.9383728504180908","0.9383728504180908"
"105","0.9173579216003418","0.9173579216003418","0.9173579216003418"
"106","0.9274378418922424","0.9274378418922424","0.9274378418922424"
"107","0.8849278688430786","0.8849278688430786","0.8849278688430786"
"108","0.9213742017745972","0.9213742017745972","0.9213742017745972"
"109","0.9288519024848938","0.9288519024848938","0.9288519024848938"
"110","0.9332042932510376","0.9332042932510376","0.9332042932510376"
"111","0.9054760932922363","0.9054760932922363","0.9054760932922363"
"112","0.9285790920257568","0.9285790920257568","0.9285790920257568"
"113","0.8834108710289001","0.8834108710289001","0.8834108710289001"
"114","0.91522216796875","0.91522216796875","0.91522216796875"
"116","0.9315184950828552","0.9315184950828552","0.9315184950828552"
"117","0.942150890827179","0.942150890827179","0.942150890827179"
"118","0.9143229722976685","0.9143229722976685","0.9143229722976685"
"119","0.9239840507507324","0.9239840507507324","0.9239840507507324"
"120","0.9330990314483643","0.9330990314483643","0.9330990314483643"
"121","0.9079792499542236","0.9079792499542236","0.9079792499542236"
"122","0.8953830003738403","0.8953830003738403","0.8953830003738403"
"123","0.9183070063591003","0.9183070063591003","0.9183070063591003"
"124","0.9137831926345825","0.9137831926345825","0.9137831926345825"
"125","0.8762539625167847","0.8762539625167847","0.8762539625167847"
"126","0.9077953100204468","0.9077953100204468","0.9077953100204468"
"127","0.8957077860832214","0.8957077860832214","0.8957077860832214"
"128","0.9182087779045105","0.9182087779045105","0.9182087779045105"
"129","0.9031271934509277","0.9031271934509277","0.9031271934509277"
"130","0.9203681349754333","0.9203681349754333","0.9203681349754333"
"131","0.9278651475906372","0.9278651475906372","0.9278651475906372"
