"Step","pleasant-mountain-202 - test/ssim_scat","pleasant-mountain-202 - test/ssim_scat__MIN","pleasant-mountain-202 - test/ssim_scat__MAX"
"1","0.8672376871109009","0.8672376871109009","0.8672376871109009"
"2","0.895348310470581","0.895348310470581","0.895348310470581"
"3","0.9315870404243469","0.9315870404243469","0.9315870404243469"
"4","0.8753216862678528","0.8753216862678528","0.8753216862678528"
"5","0.8983311057090759","0.8983311057090759","0.8983311057090759"
"6","0.889911413192749","0.889911413192749","0.889911413192749"
"7","0.9150592684745789","0.9150592684745789","0.9150592684745789"
"8","0.8134382963180542","0.8134382963180542","0.8134382963180542"
"9","0.9041774272918701","0.9041774272918701","0.9041774272918701"
"10","0.9055396318435669","0.9055396318435669","0.9055396318435669"
"11","0.8680863976478577","0.8680863976478577","0.8680863976478577"
"12","0.9026225209236145","0.9026225209236145","0.9026225209236145"
"13","0.8828024864196777","0.8828024864196777","0.8828024864196777"
"14","0.8890366554260254","0.8890366554260254","0.8890366554260254"
"15","0.8752208948135376","0.8752208948135376","0.8752208948135376"
"16","0.8469752669334412","0.8469752669334412","0.8469752669334412"
"18","0.8551940321922302","0.8551940321922302","0.8551940321922302"
"19","0.9134618043899536","0.9134618043899536","0.9134618043899536"
"20","0.903046727180481","0.903046727180481","0.903046727180481"
"21","0.8758610486984253","0.8758610486984253","0.8758610486984253"
"22","0.856535792350769","0.856535792350769","0.856535792350769"
"23","0.8789921998977661","0.8789921998977661","0.8789921998977661"
"24","0.9215316772460938","0.9215316772460938","0.9215316772460938"
"25","0.8350444436073303","0.8350444436073303","0.8350444436073303"
"26","0.891621470451355","0.891621470451355","0.891621470451355"
"27","0.8644289970397949","0.8644289970397949","0.8644289970397949"
"28","0.9159229397773743","0.9159229397773743","0.9159229397773743"
"29","0.871086835861206","0.871086835861206","0.871086835861206"
"30","0.8905501365661621","0.8905501365661621","0.8905501365661621"
"31","0.85175621509552","0.85175621509552","0.85175621509552"
"32","0.8844881057739258","0.8844881057739258","0.8844881057739258"
"33","0.8784607648849487","0.8784607648849487","0.8784607648849487"
"34","0.8890859484672546","0.8890859484672546","0.8890859484672546"
"35","0.871726393699646","0.871726393699646","0.871726393699646"
"36","0.8775169849395752","0.8775169849395752","0.8775169849395752"
"37","0.8787007331848145","0.8787007331848145","0.8787007331848145"
"38","0.8916559219360352","0.8916559219360352","0.8916559219360352"
"39","0.8909386396408081","0.8909386396408081","0.8909386396408081"
"40","0.8861424922943115","0.8861424922943115","0.8861424922943115"
"41","0.8872544765472412","0.8872544765472412","0.8872544765472412"
"42","0.9124468564987183","0.9124468564987183","0.9124468564987183"
"43","0.8883950114250183","0.8883950114250183","0.8883950114250183"
"44","0.8349367380142212","0.8349367380142212","0.8349367380142212"
"45","0.9076063632965088","0.9076063632965088","0.9076063632965088"
"46","0.9123921394348145","0.9123921394348145","0.9123921394348145"
"47","0.9318428635597229","0.9318428635597229","0.9318428635597229"
"48","0.8839437961578369","0.8839437961578369","0.8839437961578369"
"49","0.9312821626663208","0.9312821626663208","0.9312821626663208"
"51","0.8663458228111267","0.8663458228111267","0.8663458228111267"
"52","0.9107627868652344","0.9107627868652344","0.9107627868652344"
"53","0.8624683618545532","0.8624683618545532","0.8624683618545532"
"54","0.8963572978973389","0.8963572978973389","0.8963572978973389"
"55","0.8577818870544434","0.8577818870544434","0.8577818870544434"
"56","0.911832869052887","0.911832869052887","0.911832869052887"
"57","0.9226529002189636","0.9226529002189636","0.9226529002189636"
"58","0.9122416973114014","0.9122416973114014","0.9122416973114014"
"59","0.8359638452529907","0.8359638452529907","0.8359638452529907"
"60","0.8769441843032837","0.8769441843032837","0.8769441843032837"
"61","0.8608239889144897","0.8608239889144897","0.8608239889144897"
"62","0.8688048720359802","0.8688048720359802","0.8688048720359802"
"63","0.8959990739822388","0.8959990739822388","0.8959990739822388"
"64","0.9292700886726379","0.9292700886726379","0.9292700886726379"
"65","0.9159572124481201","0.9159572124481201","0.9159572124481201"
"66","0.8729877471923828","0.8729877471923828","0.8729877471923828"
"67","0.8997018337249756","0.8997018337249756","0.8997018337249756"
"68","0.9090279340744019","0.9090279340744019","0.9090279340744019"
"69","0.8635541200637817","0.8635541200637817","0.8635541200637817"
"70","0.8682986497879028","0.8682986497879028","0.8682986497879028"
"71","0.8871526718139648","0.8871526718139648","0.8871526718139648"
"72","0.9228293299674988","0.9228293299674988","0.9228293299674988"
"73","0.8819406628608704","0.8819406628608704","0.8819406628608704"
"74","0.9245921969413757","0.9245921969413757","0.9245921969413757"
"75","0.8714113235473633","0.8714113235473633","0.8714113235473633"
"76","0.8776531219482422","0.8776531219482422","0.8776531219482422"
"77","0.9212671518325806","0.9212671518325806","0.9212671518325806"
"78","0.920711874961853","0.920711874961853","0.920711874961853"
"79","0.8799585700035095","0.8799585700035095","0.8799585700035095"
"80","0.8593984246253967","0.8593984246253967","0.8593984246253967"
"81","0.9070203304290771","0.9070203304290771","0.9070203304290771"
"82","0.8843297362327576","0.8843297362327576","0.8843297362327576"
"84","0.8710882663726807","0.8710882663726807","0.8710882663726807"
"85","0.8857547640800476","0.8857547640800476","0.8857547640800476"
"86","0.8581784963607788","0.8581784963607788","0.8581784963607788"
"87","0.8877262473106384","0.8877262473106384","0.8877262473106384"
"88","0.8851717710494995","0.8851717710494995","0.8851717710494995"
"89","0.8514796495437622","0.8514796495437622","0.8514796495437622"
"90","0.8422495126724243","0.8422495126724243","0.8422495126724243"
"91","0.895745038986206","0.895745038986206","0.895745038986206"
"92","0.887188196182251","0.887188196182251","0.887188196182251"
"93","0.8691638708114624","0.8691638708114624","0.8691638708114624"
"94","0.8817389011383057","0.8817389011383057","0.8817389011383057"
"95","0.9124636054039001","0.9124636054039001","0.9124636054039001"
"96","0.8760823011398315","0.8760823011398315","0.8760823011398315"
"97","0.8924795389175415","0.8924795389175415","0.8924795389175415"
"98","0.8922617435455322","0.8922617435455322","0.8922617435455322"
"99","0.8501430749893188","0.8501430749893188","0.8501430749893188"
"101","0.8702186346054077","0.8702186346054077","0.8702186346054077"
"102","0.8636361360549927","0.8636361360549927","0.8636361360549927"
"103","0.8615704774856567","0.8615704774856567","0.8615704774856567"
"104","0.8852015733718872","0.8852015733718872","0.8852015733718872"
"105","0.9140147566795349","0.9140147566795349","0.9140147566795349"
"106","0.8980154991149902","0.8980154991149902","0.8980154991149902"
"107","0.8841711282730103","0.8841711282730103","0.8841711282730103"
"108","0.8988752365112305","0.8988752365112305","0.8988752365112305"
"109","0.8376485109329224","0.8376485109329224","0.8376485109329224"
"110","0.8787846565246582","0.8787846565246582","0.8787846565246582"
"111","0.9015465378761292","0.9015465378761292","0.9015465378761292"
"112","0.9293146133422852","0.9293146133422852","0.9293146133422852"
"113","0.8682525157928467","0.8682525157928467","0.8682525157928467"
"114","0.9067603945732117","0.9067603945732117","0.9067603945732117"
"115","0.8403761386871338","0.8403761386871338","0.8403761386871338"
"116","0.8759011030197144","0.8759011030197144","0.8759011030197144"
"118","0.9122653603553772","0.9122653603553772","0.9122653603553772"
"119","0.9035548567771912","0.9035548567771912","0.9035548567771912"
"120","0.8857762813568115","0.8857762813568115","0.8857762813568115"
"121","0.9096299409866333","0.9096299409866333","0.9096299409866333"
"122","0.925306499004364","0.925306499004364","0.925306499004364"
"123","0.8708620071411133","0.8708620071411133","0.8708620071411133"
"124","0.8815618753433228","0.8815618753433228","0.8815618753433228"
"125","0.87511146068573","0.87511146068573","0.87511146068573"
"126","0.8895277380943298","0.8895277380943298","0.8895277380943298"
"127","0.817507266998291","0.817507266998291","0.817507266998291"
"128","0.8489190936088562","0.8489190936088562","0.8489190936088562"
"129","0.8447462916374207","0.8447462916374207","0.8447462916374207"
"130","0.8465703725814819","0.8465703725814819","0.8465703725814819"
"131","0.8926306962966919","0.8926306962966919","0.8926306962966919"
"132","0.8855512142181396","0.8855512142181396","0.8855512142181396"
"133","0.9263126254081726","0.9263126254081726","0.9263126254081726"
"134","0.9109569191932678","0.9109569191932678","0.9109569191932678"
"135","0.8850958347320557","0.8850958347320557","0.8850958347320557"
"136","0.9095754623413086","0.9095754623413086","0.9095754623413086"
"137","0.8704909086227417","0.8704909086227417","0.8704909086227417"
"138","0.881637692451477","0.881637692451477","0.881637692451477"
"139","0.9058446884155273","0.9058446884155273","0.9058446884155273"
"140","0.922625720500946","0.922625720500946","0.922625720500946"
"141","0.9313072562217712","0.9313072562217712","0.9313072562217712"
"142","0.8962020874023438","0.8962020874023438","0.8962020874023438"
"143","0.9052627086639404","0.9052627086639404","0.9052627086639404"
"144","0.9194576740264893","0.9194576740264893","0.9194576740264893"
