"Step","serene-sun-203 - test/ssim_scat","serene-sun-203 - test/ssim_scat__MIN","serene-sun-203 - test/ssim_scat__MAX"
"1","0.8983814716339111","0.8983814716339111","0.8983814716339111"
"2","0.9026282429695129","0.9026282429695129","0.9026282429695129"
"3","0.9310981035232544","0.9310981035232544","0.9310981035232544"
"4","0.8775529861450195","0.8775529861450195","0.8775529861450195"
"5","0.9183516502380371","0.9183516502380371","0.9183516502380371"
"6","0.9127343893051147","0.9127343893051147","0.9127343893051147"
"7","0.9217553734779358","0.9217553734779358","0.9217553734779358"
"8","0.874104380607605","0.874104380607605","0.874104380607605"
"9","0.9105954170227051","0.9105954170227051","0.9105954170227051"
"10","0.9195555448532104","0.9195555448532104","0.9195555448532104"
"11","0.8595234155654907","0.8595234155654907","0.8595234155654907"
"12","0.913812518119812","0.913812518119812","0.913812518119812"
"13","0.8485109210014343","0.8485109210014343","0.8485109210014343"
"14","0.8801045417785645","0.8801045417785645","0.8801045417785645"
"15","0.911029040813446","0.911029040813446","0.911029040813446"
"16","0.8885361552238464","0.8885361552238464","0.8885361552238464"
"18","0.9023768901824951","0.9023768901824951","0.9023768901824951"
"19","0.904827892780304","0.904827892780304","0.904827892780304"
"20","0.9238701462745667","0.9238701462745667","0.9238701462745667"
"21","0.9153968095779419","0.9153968095779419","0.9153968095779419"
"22","0.8722896575927734","0.8722896575927734","0.8722896575927734"
"23","0.894903302192688","0.894903302192688","0.894903302192688"
"24","0.9256213903427124","0.9256213903427124","0.9256213903427124"
"25","0.8678188920021057","0.8678188920021057","0.8678188920021057"
"26","0.9143065810203552","0.9143065810203552","0.9143065810203552"
"27","0.8883261680603027","0.8883261680603027","0.8883261680603027"
"28","0.9248595833778381","0.9248595833778381","0.9248595833778381"
"29","0.8875702619552612","0.8875702619552612","0.8875702619552612"
"30","0.916824996471405","0.916824996471405","0.916824996471405"
"31","0.8780583739280701","0.8780583739280701","0.8780583739280701"
"32","0.8843940496444702","0.8843940496444702","0.8843940496444702"
"33","0.8734390139579773","0.8734390139579773","0.8734390139579773"
"34","0.8965529203414917","0.8965529203414917","0.8965529203414917"
"35","0.8570185899734497","0.8570185899734497","0.8570185899734497"
"36","0.9043896794319153","0.9043896794319153","0.9043896794319153"
