"Step","pleasant-mountain-202 - test/rmse_scat","pleasant-mountain-202 - test/rmse_scat__MIN","pleasant-mountain-202 - test/rmse_scat__MAX"
"1","0.01839776523411274","0.01839776523411274","0.01839776523411274"
"2","0.009916231967508793","0.009916231967508793","0.009916231967508793"
"3","0.004090372007340193","0.004090372007340193","0.004090372007340193"
"4","0.011679941788315773","0.011679941788315773","0.011679941788315773"
"5","0.01583167351782322","0.01583167351782322","0.01583167351782322"
"6","0.014663138426840305","0.014663138426840305","0.014663138426840305"
"7","0.01698864996433258","0.01698864996433258","0.01698864996433258"
"8","0.03889737278223038","0.03889737278223038","0.03889737278223038"
"9","0.014946906827390194","0.014946906827390194","0.014946906827390194"
"10","0.012759535573422909","0.012759535573422909","0.012759535573422909"
"11","0.02113516628742218","0.02113516628742218","0.02113516628742218"
"12","0.008696027100086212","0.008696027100086212","0.008696027100086212"
"13","0.01189950481057167","0.01189950481057167","0.01189950481057167"
"14","0.012280590832233429","0.012280590832233429","0.012280590832233429"
"15","0.025261787697672844","0.025261787697672844","0.025261787697672844"
"16","0.06305063515901566","0.06305063515901566","0.06305063515901566"
"18","0.016153939068317413","0.016153939068317413","0.016153939068317413"
"19","0.010616430081427097","0.010616430081427097","0.010616430081427097"
"20","0.02009851299226284","0.02009851299226284","0.02009851299226284"
"21","0.016538970172405243","0.016538970172405243","0.016538970172405243"
"22","0.025030499324202538","0.025030499324202538","0.025030499324202538"
"23","0.02806020900607109","0.02806020900607109","0.02806020900607109"
"24","0.008357911370694637","0.008357911370694637","0.008357911370694637"
"25","0.015041661448776722","0.015041661448776722","0.015041661448776722"
"26","0.013850264251232147","0.013850264251232147","0.013850264251232147"
"27","0.023196334019303322","0.023196334019303322","0.023196334019303322"
"28","0.008439390920102596","0.008439390920102596","0.008439390920102596"
"29","0.035440072417259216","0.035440072417259216","0.035440072417259216"
"30","0.02979182079434395","0.02979182079434395","0.02979182079434395"
"31","0.035859737545251846","0.035859737545251846","0.035859737545251846"
"32","0.02595394290983677","0.02595394290983677","0.02595394290983677"
"33","0.02526087500154972","0.02526087500154972","0.02526087500154972"
"34","0.010974661447107792","0.010974661447107792","0.010974661447107792"
"35","0.012152770534157753","0.012152770534157753","0.012152770534157753"
"36","0.03870654106140137","0.03870654106140137","0.03870654106140137"
"37","0.012213359586894512","0.012213359586894512","0.012213359586894512"
"38","0.011766639538109303","0.011766639538109303","0.011766639538109303"
"39","0.01007182989269495","0.01007182989269495","0.01007182989269495"
"40","0.013731448911130428","0.013731448911130428","0.013731448911130428"
"41","0.013786070048809052","0.013786070048809052","0.013786070048809052"
"42","0.01599091663956642","0.01599091663956642","0.01599091663956642"
"43","0.02101716212928295","0.02101716212928295","0.02101716212928295"
"44","0.014407646842300892","0.014407646842300892","0.014407646842300892"
"45","0.02032548189163208","0.02032548189163208","0.02032548189163208"
"46","0.006213061977177858","0.006213061977177858","0.006213061977177858"
"47","0.004091404844075441","0.004091404844075441","0.004091404844075441"
"48","0.019593894481658936","0.019593894481658936","0.019593894481658936"
